M12756.0	어떻게든⏎버텨 내야 해요……
M12983.0	기뻐하기엔 아직 이릅니다⏎지금 {V:02DA} 쪽은 방심했지요⏎즉시 추격해야 합니다
M12984.0	조, 좋아! 모두들!⏎오늘이야말로 {V:02DA}의⏎숨통을 끊는다!
M12985.0	뜻밖의 공격에 {V:1FC7}군은⏎많은 병사를 잃고⏎지휘 계통이 흐트러졌습니다
M12986.0	이런 호기를 놓칠까 보냐!⏎나는 공격하겠다!
M12987.0	그러나 {V:01DA}의 예견대로⏎{V:1FC7}군은 {V:20C7}군이 출진하기를⏎기다리고 있었다
M12988.0	이게 무슨 일이냐!⏎{V:02DA}의 말을⏎들었더라면……
M12989.0	{V:1FC7}군은⏎많은 병사를 잃었습니다
M12990.0	{V:02DA} 님,⏎{V:03DA} 님의 원군이 왔습니다
M12991.0	오오, 기다리고 있었다!⏎즉시 들여보내라
M12992.0	주군의 명을 받고 왔소⏎이제 우리를 가신으로 여겨⏎부려 주시오
M12993.0	{V:01DA}, {V:02DA}, {V:03DA}, {V:04DA},⏎모두 {V:05DA}의 부하로 합류했습니다
M12994.0	{V:3DAB}에는 {V:01DA}의 휘하 무장들의⏎가족이 남겨져 있었다⏎그중엔 {V:02DA}의 처 {V:03DA}도 있었다
M12995.0	오, {V:02DA}⏎오랜만이오⏎굳은 표정마저 아름답구려
M12996.0	……아주버님께서도⏎여전하시군요
M12997.0	그대는 내게 맞서는⏎{V:02DA}의 아내요⏎자, 어떻게 해 줄까
M12998.0	{V:01DA}, 어떻게 하겠습니까?
M13045.0	{V:01DA}, 어떻게 하겠습니까?
M12999.0	{V:02DA} 놈은 용서 못 하나⏎{V:03DA} 쪽은 따를 뿐이오⏎그대에게도 원한은 없소⏎놓아줄 테니⏎{V:03DA}에게 돌아가시오
M13000.0	감사합니다⏎이 은혜는 꼭 갚겠습니다
M13001.0	{V:02DA} 편에 선 무장들의 가족을⏎{V:01DA} 측은 용서했다
M13002.0	형님,⏎고맙소……
M13003.0	골육상쟁을⏎조금이라도 피하려 하는⏎{V:1FC7}군의 평판이 높아졌습니다
M13004.0	{V:01DA}에게서 {V:02DA}에게⏎{V:1543} 아이템이 왔습니다
M13005.0	내게 칼을 겨누는 자의 가족을⏎놓아줄 수는 없소⏎각오하시오
M13006.0	……각오는 되어 있습니다⏎뜻대로 하십시오
M13007.0	{V:02DA} 편에 선 무장들의 가족을⏎{V:01DA} 측은 엄히 처벌했다
M13008.0	{V:02DA} 이놈!⏎이제 형으로 여기지 않겠다!
M13009.0	골육상쟁을⏎더욱 깊어지게 한⏎{V:1FC7}군에 비난이 쏟아집니다
M13010.0	저기 있는 것은⏎{V:02DA}, {V:03DA} 형제가 아닌가⏎그들과는 대화의 여지가 있다
M13011.0	{V:01DA}, {V:02DA}에게 귀순을 권하겠습니까?
M13012.0	{V:02DA}, {V:03DA}!⏎{V:04DA} 놈이 후계자라고⏎정말로 믿고 있는가?⏎예로부터 후계자는⏎장남으로 정해져 있다⏎{V:04DA} 밑에 있으면 파멸이다
M13013.0	그, 그도 그렇군⏎{V:02DA} 님을 따르는 게⏎지금으로선 나을 것 같군
M13014.0	{V:02DA} 님,⏎우리는 {V:02DA} 님 편에 서겠소⏎부디 신하로 받아 주시오
M13015.0	한 번 {V:02DA} 편에 붙은⏎무리 따위는 믿을 수 없다⏎내버려 두어라
M13016.0	{V:02DA}, {V:03DA} 두 사람을⏎{V:01DA} 측은 무시했습니다
M13017.0	{V:02DA} 님,⏎{V:1FC7}군에서 화친을 청하는⏎사자가 왔습니다
M13030.0	{V:02DA} 님,⏎{V:1FC7}군에서 화친을 청하는⏎사자가 왔습니다
M13018.0	화친이라고!?⏎무슨 바람이 분 거냐?
M13031.0	화친이라고!?⏎무슨 바람이 분 거냐?
M13019.0	장유유서를 깬 {V:02DA}군의⏎소행은 용서할 수 없으니⏎힘을 보태겠다고 합니다⏎어떻게 답을⏎하시겠습니까?
M13020.0	{V:1FC7}군과의 화친을 승낙합니까?
M13033.0	{V:1FC7}군과의 화친을 승낙합니까?
M13021.0	좋다⏎지금은 {V:02DA}의 손을 잡고⏎{V:03DA}군을 치기로 하자⏎{V:02DA} 놈은 그다음이다
M13022.0	{V:01DA}, {V:02DA} 양측이⏎화친했습니다
M13035.0	{V:01DA}, {V:02DA} 양측이⏎화친했습니다
M13023.0	원수의 힘을 빌려서는⏎원씨 가문의 수치다⏎당장 돌려보내라
M13024.0	{V:02DA} 측과의 화친을⏎{V:01DA} 측은 거부했습니다
M13037.0	{V:02DA} 측과의 화친을⏎{V:01DA} 측은 거부했습니다
M13025.0	{V:01DA}의 저택
M13026.0	여보,⏎이 싸움은 언제까지⏎계속될까요?
M13027.0	이제 와서는⏎어느 한쪽이 쓰러질 때까지⏎계속할 수밖에 없겠지⏎하지만 이대로는 곤란해⏎본래라면 서로 손을 잡고⏎{V:03DA}에 맞서야 할 텐데
M13028.0	여자인 저로서는 그저⏎당신의 무운을⏎빌 수밖에 없습니다⏎여기 {V:1543}, 이것을⏎저라고 생각하시고 늘 몸에⏎지니고 계셔 주세요
M13029.0	오오, 이건 귀한 물건이로군⏎소중히 쓰도록 하지
M13032.0	하북을 전란에 빠뜨리는⏎{V:02DA}군을 좌시할 수 없어⏎힘을 보태겠다고 합니다⏎어떻게 답하시겠습니까?
M13034.0	좋다⏎지금만은 특별히 화친해 주마⏎⏎{V:02DA}군을 쳐 하북을 통일해⏎{V:03DA} 놈과는 나중에 승부다!
M13036.0	웃기지 마라!⏎{V:02DA}군도 {V:03DA}군도⏎우리의 적이다!⏎화친 교섭 따위 할 성싶으냐!⏎당장 그 사자를 돌려보내라!
M13038.0	{V:02DD} 님,⏎{V:1FC7}군과 싸우신다는 게⏎정말인가요?
M13039.0	형수님, 와 계셨습니까⏎개전 소식을 아시다니⏎귀도 밝으시군요
M13040.0	{V:1FC7}군은 백만이 넘는다죠⏎과연 승산이⏎있으신 건가요?
M13041.0	{V:02DA} 쪽은 저희 자매가⏎항복하면 전쟁을 멈춘다지요⏎그렇다면……
M13043.0	{V:02DA} 님, 옛 학우라며⏎{V:03DA}의 이름을 댄 사내가⏎찾아와 있습니다만
M13044.0	{V:02DA} 말인가?⏎{V:03DA} 편에 섰다고 들었는데⏎……필시 계책이로군⏎역이용해 적의 허를 찌를까⏎아니면 돌려보낼까……
M13046.0	좋아, 만나 보지⏎데려와 주게
M13047.0	수채에서 {V:01DA}의 성대한 환대를 받은 {V:02DA},⏎그날 밤부터 {V:01DA}의 진영을 염탐하기 시작했다⏎{V:01DA}의 짐작대로 그는 {V:03DA}의 첩자였다
M13048.0	군비는 충분히 갖춰져 있다⏎병사들의 사기도 낮지 않다⏎이건 만만치 않겠군⏎응?⏎이, 이건 우리 군의⏎{V:02DA}, {V:03DA}의 밀서!⏎……이게 무슨 일이냐⏎{V:02DA} 등이 배반하려고⏎하는 것인가!
M13049.0	밀서를 손에 넣은 {V:01DA},⏎그 길로 {V:02DA}의 진영에 돌아갔다⏎이 밀서는 {V:03DA} 측이 꾸민 가짜였다
M13050.0	보고드립니다⏎{V:1FC7}군의 {V:02DA}, {V:03DA},⏎두 사람이 처단되었습니다!
M13051.0	훗, 걸려들었군⏎이제 수전에 능한 무장이⏎없어졌군
M13052.0	{V:1FC7}군의 {V:01DA}, {V:02DA},⏎두 사람이 사망했습니다
M13053.0	적의 편에 붙은 자와는⏎만날 수 없다⏎돌려보내라!
M13054.0	{V:01DA}에게 온 {V:02DA},⏎그대로 돌려보내졌습니다
M13055.0	보고드립니다⏎{V:1FC7}군의 {V:01DA}, {V:02DA},⏎두 사람이 항복해 왔습니다
M13056.0	{V:02DA}, {V:03DA} 말인가?⏎얼마 전 사망한⏎{V:04DA}의 일족이로군⏎사촌 형이 죽임을 당하자⏎겁을 먹고 투항했다⏎그런 줄거리인가⏎……{V:05DA} 놈, 못 말리겠군⏎자, 어떻게 해 줄까?
M13057.0	{V:01DA}, {V:02DA}의 처우는?
M13058.0	좋다, 환영한다고 전하라⏎단, 그 전에 아군에게 알려라⏎「매복의 독」이 왔다고
M13059.0	{V:01DA}, {V:02DA} 두 사람이⏎{V:03DA}의 부하가 되었습니다
M13060.0	더 이상 우리 군의 내막을⏎드러낼 필요는 없다⏎잡아들여 처단하라!
M13061.0	{V:01DA}, {V:02DA} 두 사람이⏎처단되었습니다
M13062.0	보고드립니다⏎{V:02DA}의 이름을 댄 사내가⏎면회를 청하고 있습니다
M13063.0	{V:01DA}, 인사드리오⏎오늘은 {V:02DA} 격파의 계책을⏎귀공께 가져왔소
M13064.0	고명한 봉추 선생께 계책을⏎받게 되다니 든든하구려⏎말씀해 주시오
M13065.0	{V:02DA}의 대선단을 치려면⏎화계밖에 없을 것이오⏎⏎그러니 적선을 쇠사슬로 묶어⏎움직임을 봉쇄하는 게 좋소⏎이른바 「연환계」요
M13066.0	연환계를 실행시키겠습니까?
