M12347.0	겁먹지 마라!⏎원군을 데려왔어요!
M12487.2	최대한 으스스하게⏎{V:4761} 도사를 연기해 볼까
M12488.0	좋아, 지금이라면 적도⏎{V:4761}에 걸리겠지
M12509.0	좋아, 지금이라면 적도⏎{V:4761}에 걸리겠지
M12488.1	이 날씨, 이 기온……⏎{V:4761}에 절호의 기회다
M12488.2	어디 한번 {V:4761} 병법을⏎시험해 볼까
M12490.0	그런 유치한 속임수에⏎놀아날 성싶으냐!
M12493.0	그런 유치한 속임수에⏎놀아날 성싶으냐!
M12490.1	{V:4761} 좋아하시네!⏎속을 줄 알고!
M12490.2	소용없어, 소용없어!⏎상대를 잘못 골랐네!
M12491.0	실패한 모양이네요⏎참 꼴사납군요
M12491.1	이 정도로 {V:4761} 행세라니⏎기가 막혀 말이 안 나오네요
M12491.2	엉터리 술사도 다 있네요⏎참으로 꼴사나운 모습이군요
M12492.0	휴우……⏎불발로 끝난 것 같네요
M12492.1	후우……⏎아무래도 실패한 모양이네요
M12492.2	뭐, 뭐라고요? {V:4761}!?⏎노, 놀라게 하지 마세요……
M12493.1	{V:4761} 좋아하네!⏎속을 성싶으냐!
M12493.2	소용없다, 소용없어!⏎상대를 잘못 골랐구나!
M12494.0	실패인가⏎꼴사납군
M12494.1	이 정도로 {V:4761} 행세라니⏎기가 막혀 말이 안 나오는군
M12494.2	엉터리 술사도 다 있군⏎참으로 꼴사나운 모습이로다
M12495.0	휴우……⏎불발로 끝난 것 같군
M12495.1	후우……⏎아무래도 실패한 모양이군
M12495.2	뭐, 뭐라고? {V:4761}!?⏎가, 간 떨어지게 하는군……
M12497.0	에잇, 뭘 겁내요!⏎두려움을 떨쳐 내요
M12497.1	이렇게 된 이상 조금이라도⏎사기를 유지해야만 해
M12499.1	이렇게 된 이상 조금이라도⏎사기를 유지해야만 해
M12497.2	동요는 크지 않네요⏎아직 어떻게든 될 것 같아요
M12498.0	이, 이런 술법을 당해서는⏎싸우기는커녕……
M12500.0	이, 이런 술법을 당해서는⏎싸우기는커녕……
M12498.1	이, 이건 눈속임이에요⏎눈속임이 틀림없어요
M12498.2	기, 기가 죽어서는⏎안 돼요
M12499.0	에잇, 뭘 두려워하느냐!⏎두려움을 떨쳐 내라
M12499.2	동요는 크지 않다⏎아직 어떻게든 될 것 같군
M12500.1	이, 이건 눈속임이다⏎눈속임이 틀림없어
M12500.2	이, 이봐라!⏎기, 기죽지 마라
M12502.0	오호호호!⏎이거나 먹어라!
M12502.2	간다!⏎{V:4761}의 무서움을 느껴라!
M12503.0	좋아, 내 {V:4761}의 힘으로⏎저승으로 보내 주겠어!
M12503.1	내 {V:4761}의 위력을⏎똑똑히 맛보아라!
M12507.1	내 {V:4761}의 위력을⏎똑똑히 맛보아라!
M12503.2	슬슬 때가 됐어요⏎받아라, 내 {V:4761}!
M12504.0	제가 익힌 {V:4761}의 진수,⏎똑똑히 보여 드리지요
M12504.1	정면승부만이 싸움이 아님을⏎가르쳐 드리지요
M12504.2	우후후, 슬슬 때가 됐네요⏎한껏 화려하게 연출해 볼까요
M12505.1	이 바람, 이 습도……⏎{V:4761}에 절호의 기회예요
M12505.2	이쯤에서 {V:4761} 병법을⏎써 봅시다
M12506.0	하하하!⏎이거나 먹어라!
M12506.2	간다!⏎{V:4761}의 무서움을 느껴라!
M12507.0	좋아, 내 {V:4761}의 힘으로⏎저승으로 보내 주마!
M12507.2	슬슬 때가 됐군⏎받아라, 내 {V:4761}!
M12508.0	내가 익힌 {V:4761}의 진수,⏎똑똑히 보여 주마
M12508.1	정면승부만이 싸움이 아님을⏎몸소 깨닫거라
M12508.2	흠, 슬슬 때가 됐군⏎한껏 화려하게 연출해 볼까
M12509.1	이 바람, 이 습도……⏎{V:4761}에 절호의 기회다
M12509.2	이쯤에서 {V:4761} 병법을⏎써 볼까
M12511.0	헛소리 마!⏎그런 게 통할 줄 알고!
M12511.1	그런 걸 두려워할⏎우리 군이 아니다!
M12514.1	그런 걸 두려워할⏎우리 군이 아니다!
M12511.2	소용없어, 소용없어!⏎애들도 안 놀라겠어!
M12512.0	모두들, 속아선 안 돼요!⏎저건 눈속임이에요!
M12512.1	이제 퇴마 기도를 올리겠어요!⏎눈속임을 걷어 내 주겠어요!
M12512.2	모두 눈을 감아라!⏎그러면 눈속임은 사라져요!
M12513.0	그렇게까지 비현실적인 짓을⏎하면 아무도 안 믿어요
M12513.1	기상을 이용한 것뿐인데⏎{V:4761} 운운은 과장이군요
M12513.2	분명 무슨 그림자가 보이네요⏎하지만 그뿐이에요
M12514.0	웃기지 마라!⏎그런 눈속임이 통할 성싶으냐!
M12514.2	소용없다, 소용없어!⏎애들도 안 놀라겠다!
M12515.0	모두들, 속아선 안 된다!⏎저건 눈속임이다!
M12515.1	이제 퇴마 기도를 올리겠다!⏎눈속임을 걷어 내 주마!
M12515.2	모두 눈을 감아라!⏎그러면 눈속임은 사라진다!
M12516.0	그렇게까지 비현실적인 짓을⏎하면 아무도 믿지 않는다
M12516.1	기상을 이용한 것뿐인데⏎{V:4761} 운운은 과장이로군
M12516.2	분명 무슨 그림자가 보이는군⏎하지만 그뿐이다
M12518.0	뭘 겁내요!⏎이건 눈속임이에요!
M12518.1	진정해요!⏎떠드는 자는 벨 거예요!
M12518.2	진정해라, 진정해!⏎그러고도 {V:01DE}군 병사야!?
M12519.0	동요는 아직 작아요⏎진정시키면 되돌릴 수 있어요
M12519.1	이렇게 된 이상 한시라도 빨리⏎동요를 가라앉힐 뿐이에요
M12519.2	겁먹은 건 일부예요⏎시간이 있으면 진정될 거예요
M12520.0	병사들의 동요는 아직 작아요⏎지금이면 금방 진정시키겠네요
M12520.1	서둘러 수습하지 않으면⏎피해가 커지기만 하겠군요
M12520.2	큭, 이렇게 된 이상 서둘러⏎동요부터 가라앉혀야겠군요
M12521.0	어, 어쩜 이런 터무니없는⏎술법을 쓰다니……
M12521.1	이, 이건 환영이에요⏎환영이 틀림없어요……
M12521.2	이, 이봐요!⏎나를 두고 도망치지 말아요!
M12522.0	뭘 겁내느냐!⏎이건 눈속임이다!
M12522.1	진정하지 못할까!⏎떠드는 자는 벤다!
M12522.2	진정해라, 진정해!⏎그러고도 {V:01DE}군 병사냐!
M12523.0	동요는 아직 작다⏎진정시키면 되돌릴 수 있겠지
M12523.1	이렇게 된 이상 한시라도 빨리⏎동요를 가라앉힐 뿐이다
M12523.2	겁먹은 건 일부다⏎시간이 있으면 진정될 거다
M12524.0	병사들의 동요는 아직 작다⏎지금이면 금방 진정시키겠군
M12524.1	서둘러 수습하지 않으면⏎피해가 커지기만 하겠군
M12524.2	큭, 이렇게 된 이상 서둘러⏎동요부터 가라앉혀야겠군
M12525.0	이, 이 무슨 터무니없는⏎술수란 말이냐……
M12525.1	이, 이건 환영이다⏎환영이 틀림없다……
M12525.2	이, 이봐라!⏎나를 두고 도망치지 마라!
M12527.0	지금이에요!⏎바위로 깔아뭉개라!
M12527.1	걸려들었구나!⏎깔려 버려라!
M12527.2	왔구나!⏎바위 밑에 깔아 줄게!
M12528.0	신호와 동시에⏎모아 둔 바위를 떨어뜨려라!
M12532.0	신호와 동시에⏎모아 둔 바위를 떨어뜨려라!
M12528.1	좋아, 지금이에요!⏎밧줄을 끊어 바위를 떨궈라!
M12528.2	자, 적이 오면⏎일제히 바위를 떨어뜨려요!
M12529.0	왔군요, {V:02DA}대⏎자, 각오하시지요
M12552.0	왔군요, {V:02DA}대⏎자, 각오하시지요
M12529.1	일부러 깔리러 오다니⏎수고가 많으시네요
M12529.2	생각 없이 골짜기를 지나니까⏎이런 꼴을 당하는 거예요
M12530.0	슬슬 {V:4761} 병법을⏎쓸 때가 됐지요
M12530.1	바위를 떨어뜨린다면⏎지금이겠지요
M12530.2	이쯤에서 {V:4761} 병법을⏎펼쳐 봅시다
M12531.0	지금이다!⏎바위로 깔아뭉개라!
M12531.1	걸려들었군!⏎깔려 버려라!
M12531.2	받아라!⏎바위 밑에 깔아 주마!
M12532.1	좋아, 지금이다!⏎밧줄을 끊어 바위를 떨궈라!
M12532.2	자, 적이 오면⏎일제히 바위를 떨어뜨려라!
