M06031.0	주
M06154.2	알겠습니다⏎기대에 부응할 수 있도록⏎전력으로 작업에 힘쓰겠습니다
M06155.0	끝내주게 튼튼한 놈으로⏎만들어 볼까!
M06155.1	꾸물거릴 시간 없지⏎당장 시작하자고!
M06155.2	부대를 이끌 거라면⏎적과 싸우는 쪽이⏎이 몸한테 맞는데 말이야
M06157.0	이제 와서는⏎{V:3DAC}도 무용지물이군요⏎철거하도록 하지요
M06157.1	이제 {V:3DAC}에는⏎전략적 가치가 없는 것 같군요⏎철거하지요
M06157.2	{V:3DAC}의 철거를 명합니다⏎모두들,⏎서둘러 준비하세요!
M06158.0	이제 와서는⏎{V:3DAC}도 무용지물이로군⏎철거하도록 하지
M06158.1	이제 {V:3DAC}에는⏎전략적 가치가 없는 것 같군⏎철거하자
M06158.2	{V:3DAC}의 철거를 명한다⏎모두들,⏎서둘러 준비하라!
M06159.0	{V:3DAC} 따윈 필요 없다!⏎철거해 버려
M06159.1	이제 {V:3DAC}에 볼일은 없다⏎부숴 버려!
M06159.2	{V:3DAC} 쪽은 철거한다⏎서둘러 때려 부숴!
M06160.0	{V:1FC7}군은⏎{V:3DA3}의 철거를 마쳤습니다
M06162.0	이렇게 직접⏎백성과 만나는 것도⏎군주의 역할이지요
M06162.1	역시 백성의 실정은⏎내 눈과 귀로⏎확인해야겠지요
M06162.2	{V:3DAB}에서⏎우리 군의 평판을 알아볼⏎좋은 기회예요
M06163.0	그럼⏎{V:3DAB}에서 아군의 평판을⏎높이고 오지요
M06163.1	알겠어요⏎그대의 덕망을⏎확실히 알리고 오지요
M06163.2	우리 군의 통치에⏎{V:3DAB}의 백성들도⏎만족할 것입니다
M06166.2	우리 군의 통치에⏎{V:3DAB}의 백성들도⏎만족할 것입니다
M06164.0	이렇게 직접⏎백성과 만나는 것도⏎군주의 역할이지
M06164.1	역시 백성의 실정은⏎내 눈과 귀로⏎확인해야겠지
M06164.2	{V:3DAB}에서⏎우리 군의 평판을 알아볼⏎좋은 기회로군
M06165.0	그럼⏎{V:3DAB}에서 아군의 평판을⏎높이고 오겠네
M06165.1	알겠네⏎주군의 덕망을⏎확실히 알리고 오겠네
M06165.2	우리 군의 통치에⏎{V:3DAB}의 백성들도⏎만족할 걸세
M06166.0	맡겨 주십시오⏎{V:3DAB}에서 아군의 평판을⏎높이고 오겠습니다
M06166.1	알겠습니다⏎주군의 덕망을⏎확실히 알리고 오겠습니다
M06167.0	좋아!⏎나쁜 놈이 있으면 닥치는 대로⏎잡아들여 주마!
M06167.1	이 {V:01DA} 님이⏎눈을 번뜩이고 있다는 걸 알면⏎악당들도 줄행랑을 치겠지!
M06167.2	헤헤헤⏎돌아오는 길에 술이라도……⏎……농담이라니까!
M06168.0	백성을 소홀히 해서는⏎나라가 설 수 없습니다⏎당장 다녀오겠습니다
M06168.1	백성을 돌보지 않는 통치에⏎미래는 없습니다⏎꼼꼼히 살펴보고 오겠습니다
M06168.2	좋은 생각이십니다⏎이런 일들이 쌓이고 쌓여⏎언젠가 꼭 결실을 맺을 겁니다
M06169.0	이웃 현에서⏎소송이 밀려 있다던데⏎가볍게 해결하고 오겠습니다
M06169.1	알겠습니다⏎한잔하고 나서⏎가도록 하지요
M06169.2	그럼 슬슬⏎시작해 볼까요
M06170.0	아군의 평판이 높아지면⏎백성도 모여들 것입니다
M06170.1	부국강병을 이루기 위해서도⏎백성의 마음을 얻어야 합니다
M06170.2	이 나라를 다스릴 수 있는 건⏎아군뿐이라는 것을⏎널리 알리고 오겠습니다
M06171.0	알겠습니다⏎싸움에서 이기려면⏎백성의 결속이 필요하니까요
M06171.1	늘 틀어박혀 있으니⏎가끔은 밖에 나가⏎기분 전환하는 것도 좋겠지요
M06171.2	그럼 오랜만에⏎바깥 공기를 쐬고 오기로⏎할까요
M06172.0	{V:3DA2} 민심 상승: {V:65}(+{V:66})⏎증가병역 상승: {V:67}(+{V:68})
M13207.0	{V:3DA2} 민심 상승: {V:65}(+{V:66})⏎증가병역 상승: {V:67}(+{V:68})
M06174.0	내 손으로⏎{V:3DAB}에 한층 더 번영을⏎가져오지요
M06174.1	국력 증강을 위해서라도⏎이번에는 직접 상업 개발에⏎힘쓰도록 하지요
M06174.2	재정의 현황은⏎내 눈으로⏎확인해 둬야겠어요
M06175.0	알겠어요⏎그대의 기대에 부응하도록⏎전력을 다하지요
M06175.1	이 {V:3DAB} 땅을⏎우리 군의 이름에 걸맞은⏎훌륭한 도시로 만들지요
M06175.2	알겠어요⏎{V:3DAB}의 더 큰 발전을⏎약속하지요
M06176.0	내 손으로⏎{V:3DAB}에 한층 더 번영을⏎가져오도록 하지
M06176.1	국력 증강을 위해서라도⏎이번에는 직접⏎상업 개발에 힘쓰자
M06176.2	재정의 현황은⏎내 눈으로⏎확인해 둬야겠군
M06177.0	알겠네⏎기대에 부응하도록⏎전력을 다하겠네
M06177.1	이 {V:3DAB} 땅을⏎우리 군의 이름에 걸맞은⏎훌륭한 도시로 만들겠네
M06177.2	알겠네⏎{V:3DAB}의 더 큰 발전을⏎약속하지
M06178.0	알겠습니다⏎기대에 부응하도록⏎전력을 다하겠습니다
M06178.1	이 {V:3DAB} 땅을⏎우리 군의 이름에 걸맞은⏎훌륭한 도시로 만들겠습니다
M06180.1	이 {V:3DAB} 땅을⏎우리 군의 이름에 걸맞은⏎훌륭한 도시로 만들겠습니다
M06178.2	맡겨 주십시오⏎{V:3DAB}의 더 큰 발전을⏎약속드리겠습니다
M06179.0	이 몸의 술값을 위해서라도⏎한번 다녀와 볼까
M06179.1	에휴⏎귀찮아 죽겠네
M06179.2	이 {V:01DA} 님이 돈 계산이라니⏎이렇게 안 어울릴 수가 없다고
M06180.0	법의 이념에 따라⏎장사가 이루어지고 있는지⏎확인하고 오겠습니다
M06180.2	알겠습니다⏎일의 크고 작음을 가리지 않고⏎처리하고 오겠습니다
M06181.0	돈을 만지고 있자니⏎해현에 있던 시절이⏎그리워지는구려
M06181.1	맡겨 주시오⏎이 {V:01DA}, 돈 계산에는⏎자신이 좀 있소
M06181.2	알겠소⏎이 두 눈으로 똑똑히 시장을⏎단속하고 오리다
M06182.0	{V:3DA2} 수익 상승: {V:65}(+{V:66})⏎금수입 상승: {V:67}(+{V:68})
M06184.0	식량이야말로 나라의 근본이죠⏎우선 이 {V:3DAB}에서부터⏎개간을 진행하지요
M06184.1	이번에는 직접⏎농지를 개척하여⏎나라의 기반을 다지지요
M06184.2	때로는⏎직접 농지를 둘러보는 것도⏎필요하지요
M06185.0	알겠어요⏎가을 수확을⏎기대해 주세요
M06185.1	알겠어요⏎이 {V:3DAB}의 땅을⏎더욱 비옥하게 바꾸어 놓지요
M06185.2	그대의 위광에⏎농민들도 전력을 다해⏎보답해 주겠지요
M06186.0	식량이야말로 나라의 근본이다⏎우선 이 {V:3DAB}에서부터⏎개간을 진행하도록 하지
M06186.1	이번에는 직접⏎농지를 개척하여⏎나라의 기반을 다지자
M06186.2	때로는⏎직접 농지를 둘러보는 것도⏎필요하겠지
M06187.0	알겠네⏎가을 수확을 기대하게
M06187.1	알겠네⏎이 {V:3DAB}의 땅을⏎한층 비옥하게 만들어 보이지
M06187.2	우리 군의 위덕에⏎농민들도 전력을 다해⏎보답해 주겠지
M06188.0	알겠습니다⏎부디 가을 수확을⏎기대해 주십시오
M06188.1	맡겨 주십시오⏎이 {V:3DAB}의 땅을⏎한층 비옥하게 만들겠습니다
M06188.2	우리 군의 위광에⏎농민들도 전력을 다해⏎보답할 것입니다
M06189.0	그럼 다녀와 볼까⏎한바탕 일한 뒤의 술은⏎각별하거든
M06189.1	할 수 없지⏎가끔은 백성들을 위해⏎힘 좀 써 줄까
M06189.2	{V:01DA} 하면 {C:25b}사모{C:32b}지?⏎괭이 든 내 모습은⏎영 그림이 안 나온다고
M06190.0	농민이 일하는 모습을 보니⏎와룡강의 청경우독 시절이⏎떠오릅니다
M06190.1	식량의 비축 없이⏎싸움을 계속함은 무모합니다⏎착실히 경작하고 오겠습니다
M06190.2	「의식이 족해야 예를 안다」⏎우선 백성의 먹을 것을 확보해⏎나라의 기틀로 삼아야 합니다
M06191.0	이러고 있으니⏎누상촌에서 돗자리를 짜던⏎시절이 그립군
M06191.1	아무리 지위가 높아져도⏎흙냄새에 마음이 놓이는군⏎……나쁘지 않은 기분이야
M06191.2	백성의 노고가 있기에⏎우리는 국사에 힘쓸 수 있다⏎감사해야 마땅하겠지
M06192.0	이러고 있으니⏎고향 누상촌에서의 나날이⏎떠오릅니다
M06192.1	부끄러운 말씀이지만⏎아무리 지위가 높아져도⏎흙냄새를 맡으면 편안해집니다
M06192.2	백성의 노고가 있기에⏎우리가 국사에 힘쓸 수 있지요⏎감사하지 않을 수 없습니다
M06193.0	{V:3DA2} 수확 상승: {V:65}(+{V:66})⏎병량수입 상승: {V:67}(+{V:68})
M06195.0	그럼⏎{V:3DAC}의 방비를⏎굳히도록 하지요
M06195.1	내 손으로⏎{V:3DAC}의 수비를⏎철벽으로 만들어 보이겠어요
M06195.2	수비가 굳건해지면⏎우리 군의 전략의 폭도⏎크게 넓어지겠지요
M06196.0	알겠어요⏎이 {V:3DAC}의 방비를⏎난공불락으로 만들어 보이지요
M06196.1	알겠어요⏎그대의 기대에 부응하도록⏎밤낮없이 보수에 힘쓰겠어요
M06196.2	그럼, 당장⏎{V:3DAC}의 보수에⏎착수하겠어요
M06197.0	그럼⏎{V:3DAC}의 방비를⏎굳혀 볼까
M06197.1	내 손으로⏎{V:3DAC}의 수비를⏎철벽으로 만들어 주마
M06197.2	수비가 굳건해지면⏎우리 군의 전략의 폭도⏎크게 넓어지겠군
M06198.0	알겠네⏎이 {V:3DAC}의 방비를⏎난공불락으로 만들어 보이지
M06198.1	알겠네⏎기대에 부응할 수 있도록⏎밤낮없이 보수에 힘쓰겠네
M06198.2	그럼, 당장⏎{V:3DAC}의 보수에⏎착수하세
M06199.0	맡겨 주십시오⏎이 {V:3DAC}의 방비를⏎난공불락으로 만들겠습니다
M06199.1	알겠습니다⏎기대에 부응하도록⏎밤낮없이 보수에 힘쓰겠습니다
M06199.2	그럼, 당장⏎{V:3DAC}의 보수에⏎착수하겠습니다
M06200.0	좋았어!⏎농땡이 치는 놈이 있으면⏎사정없이 부려 먹어 주마!
M06200.1	이 {V:01DA} 님이 지켜보면⏎날림 공사 따위는⏎없어진다고!
M06200.2	좋아!⏎{V:3DAC}의 수비를⏎단단히 굳혀 주겠어!
M06201.0	{V:3DA3}의 내구가 상승했습니다⏎현재 내구: {V:65}(+{V:66})⏎실행무장의 숙련이 올랐습니다
M06202.0	{V:3DA3}의 보수가⏎완료되었습니다
M06204.0	이것으로 {V:3DAC}의 수비는⏎완벽해요
M06204.1	{V:3DAC}에 의지하면⏎대군을 상대하더라도⏎충분히 싸울 수 있겠군요
M06204.2	그야말로 반석 같은 방비군요⏎이제 뒤를 걱정하지 않고⏎마음껏 싸울 수 있겠어요
M06205.0	{V:3DAC}의 방비는 만전이군요⏎다음 작업으로 넘어가지요
M06205.1	이 {V:3DAC}의 방비라면⏎어떤 대군이라도⏎그리 쉽게는 뚫지 못하겠지요
M06205.2	완벽하게 마무리됐군요⏎이 정도면 {V:02DA}도⏎만족하겠지요
M06206.0	이것으로 {V:3DAC}의 수비는⏎완벽하군
M06206.1	{V:3DAC}에 의지하면⏎대군을 상대하더라도⏎충분히 싸울 수 있겠군
M06206.2	그야말로 반석 같은 방비로군⏎이제 뒤를 걱정하지 않고⏎마음껏 싸울 수 있겠지
M06207.0	{V:3DAC}의 방비는 만전일세⏎다음 작업에 착수하세
M06207.1	이 {V:3DAC}의 방비라면⏎제아무리 대군이라도⏎그리 쉽게는 뚫지 못하리라
M06207.2	완벽하게 마무리됐군⏎이 정도면 {V:02DA}도⏎만족하겠지
