M09135.0	그런가… 아쉽구려
M10992.0	어쩐지 쓸쓸해 보이십니다……
M10993.0	아직 감옥에 포로가 있군요⏎어서 처우를 정합시다
M10994.0	튜토리얼 출진편은 이것으로 끝입니다⏎부대 편성과 명령을 내리는 방법에 따라⏎전황이 얼마나 바뀌는지 실감하셨겠지요⏎다음 「공성편」은 「공세」로 전환합니다⏎이번에 배운 것을 염두에 두고 플레이하면⏎금방 이해할 수 있습니다. 힘내십시오!
M10995.0	⏎　게임의 목적⏎
M10996.0	【게임의 목적 배우기】
M10997.0	당신은 삼국 시대의 군주가 되어⏎중국 대륙의 통일을 목표로 합니다⏎⏎다른 군주를 전쟁과 항복 권고로 멸하고⏎대륙을 자세력이 통일하면 클리어입니다⏎이민족의 도시를 지배할 필요는 없습니다⏎화면 중앙에 있는 것이 도시입니다⏎대륙에는 모두 45개 도시(이민족 제외)가⏎있습니다
M10998.0	화면 중앙에 있는 것이 도시입니다⏎대륙에는 모두 45개 도시(이민족 제외)가⏎있습니다
M10999.0	도시 위의 게이지에 대해 설명합니다⏎⏎⏎초록색 게이지는 도시의 내구입니다⏎이 게이지가 0이 되면⏎도시는 함락되고 맙니다⏎파란색 게이지는 도시 병사의 사기입니다⏎사기가 높으면 병사의 공격력이 오릅니다⏎사기가 0이 되면 병사는 흩어져 버립니다⏎맨 위에 있는 숫자가 도시의 병사 수입니다⏎전쟁에서는 가장 중요한 수치입니다⏎이것도 0이 되면 도시는 함락되고 맙니다
M11000.0	지배 도시를 모두 잃으면⏎게임 오버가 됩니다
M11001.0	삼국지의 세계에 어서 오게!⏎지금부터 게임의 흐름과⏎기본 사항을 설명하겠네
M11002.0	이것이 나의 거성, {C:25b}신야{C:32b}일세⏎백성도 적고 작은 도시지만⏎나는 이곳이 좋다네
M11003.0	{C:25b}신야{C:32b}의 병사는⏎고작 2000명…⏎아이고……
M11004.0	⏎　게임 진행 방법⏎
M11005.0	도시를 지배하려면⏎군비를 갖추고 국력을 쌓아야⏎합니다
M11006.0	그러한 국력 증강의 준비를 하는 기간이⏎「전략 페이즈」입니다⏎⏎화면에 「전략 페이즈」라고 표시되면⏎시설 위에서 {U:F0BC}버튼을 눌러 봅시다⏎명령 메뉴가 열립니다⏎여기서 무장에게 갖가지 명령을 내립니다⏎전략 페이즈 중에는 시간이 멈춰 있으니⏎천천히 생각하고 명령을 내립시다
M11007.0	전략 페이즈에서 명령을 다 내렸으면⏎{U:F0BE}버튼을 눌러 「진행 페이즈」로⏎넘어갑니다. 실제로 시간을 진행시킵니다⏎진행 페이즈에서는 시간이 흐름에 따라⏎전략 페이즈에서 설정한 명령이 실행됩니다⏎부대와 무장이 명령에 따라 움직입니다⏎물론 동시에 타국의 명령도 실행됩니다⏎적이 어떤 전략으로 나올지⏎똑똑히 지켜봅시다
M11008.0	전략 페이즈에서 명령을 다 내렸으면⏎{U:F0BE}버튼을 눌러 「진행 페이즈」로⏎넘어갑니다. 실제로 시간을 진행시킵니다⏎진행 페이즈에서는 시간이 흐름에 따라⏎전략 페이즈에서 설정한 명령이 실행됩니다⏎부대와 무장이 명령에 따라 움직입니다⏎물론 동시에 타국의 명령도 실행됩니다⏎적이 어떤 전략으로 나올지,⏎똑똑히 지켜봅시다
M11009.0	진행 페이즈에선 전략 페이즈에서 설정한⏎명령이 실행됩니다⏎부대와 무장이 명령에 따라 움직입니다
M11010.0	물론 동시에 타국의 명령도 실행됩니다⏎적이 어떤 전략으로 나올지,⏎제대로 지켜봅시다
