M07560.0	너희 대장은⏎포상을 독차지하고 있거든⏎몰랐니!?
M07700.0	지금이다!⏎내 {V:4761}의 힘을⏎뼈저리게 느껴라!
M07698.1	간다!⏎내 {V:4761}의 위력을⏎후세까지 두고두고 전하거라!
M07700.2	간다!⏎내 {V:4761}의 위력을⏎후세까지 두고두고 전하거라!
M07698.2	슬슬 때가 됐군⏎내 {V:4761}의 힘으로⏎적진을 휘저어 주마!
M07700.3	슬슬 때가 됐군⏎내 {V:4761}의 힘으로⏎적진을 휘저어 주마!
M07699.1	제 발로 당하러 왔구나⏎내 {V:4761}의 힘으로⏎저승으로 보내 줄게!
M07700.1	제 발로 당하러 왔는가⏎내 {V:4761}의 힘으로⏎저승으로 보내 주마!
M07702.0	모두들, 속아선 안 돼요!⏎저건 눈속임이에요!⏎정신 똑바로 차리세요!
M07702.1	겁먹지 마세요!⏎지금 퇴마 기도를 올리겠어요!⏎눈속임을 걷어 내 줄게요!
M07702.2	전원, 눈을 감아라!⏎신호하면 눈을 뜨세요!⏎그러면 눈속임은 사라져요!
M07703.0	{V:4761}? 마, 말도 안 돼요!⏎그런 건 눈속임이에요⏎정신을 똑바로 차려요!
M07703.1	겁, 겁먹지 마세요!⏎지금 기도를 올리겠어요!⏎눈속임은 사라질 거예요!
M07703.2	보, 보면 안 돼요!⏎신호할 때까지 눈을 감으세요!⏎눈속임은 사라질…… 거예요!
M07704.0	모두들, 속지 마라!⏎저건 눈속임에 불과하다!⏎정신 똑바로 차려라!
M07704.1	겁먹지 마라!⏎지금 퇴마 기도를 올리겠다!⏎눈속임을 걷어 내 주마!
M07704.2	전원, 눈을 감아라!⏎신호하면 눈을 떠라!⏎그러면 눈속임은 사라진다!
M07705.0	{V:4761}? 마, 말도 안 된다!⏎그런 건 눈속임이다⏎정신 똑바로 차려라!
M07705.1	겁, 겁먹지 마라!⏎지금 기도를 올리겠다!⏎눈속임은 사라질 것이다!
M07705.2	보, 보면 안 된다!⏎신호할 때까지 눈을 감아라!⏎눈속임은 사라질…… 것이다!
M07707.0	……큭⏎적 병사들은 꽤⏎강인한 모양이네요……
M07707.1	……으음⏎적에게 동요가 보이지 않아요⏎공포를 억눌렀나 봐요……
M07707.2	{V:4761}의 효과가 없다니……⏎이건 얕볼 수 없겠네요
M07707.3	……통하지 않나⏎{V:4761}의 운용을⏎그르쳤는지도 몰라요……
M07708.0	……큭⏎적 병사들은 꽤⏎강인한 모양이군……
M07708.1	……으음⏎적에게 동요가 보이지 않는다⏎공포를 억눌렀나……
M07708.2	{V:4761}의 효과가 없다니……⏎이건 얕볼 수 없겠군
M07708.3	……통하지 않는가⏎{V:4761}의 운용을⏎그르쳤는지도 모르겠군……
M07709.0	히익!⏎하늘에 검은 그림자 떼가!!⏎살려 줘~!
M07709.1	뭐, 뭐야, 저건!?⏎하늘에서 큰 눈이 노려본다!⏎저런 걸 어떻게 상대하냐!
M07709.2	어, 어이, 봤어, 방금!?⏎하늘에 큰 사람 그림자가……⏎저건 인간이 아니야!!
M07711.0	당했네요……⏎한번 공포에 사로잡힌 병사를⏎진정시키긴 무척 어려워요……
M07711.1	큭, 당했어요!⏎이래서는 싸울 상황이⏎아니네요……
M07711.2	이놈들, 잔꾀를 부리다니!⏎……이렇게 겁에 질려서야⏎되돌리긴 글렀네요……
M07712.0	이, 이봐요!⏎허둥대지 마세요……!⏎허둥대지 말라니까요!
M07712.1	겁, 겁먹지 마세요!⏎이런 일이 현실에서⏎일어날 리가…… 없어요!
M07712.2	보, 보지 마, 보지 마세요!⏎보니까 겁에 질리는 거예요⏎보면 안 돼요!
M07713.0	당했나……⏎한번 공포에 사로잡힌 병사를⏎진정시키긴 무척 어렵다……
M07713.1	큭, 당했구나!⏎이래서는 싸울 상황이⏎아니다……
M07713.2	이놈들, 잔꾀를 부리다니!⏎……이렇게 겁에 질려서야⏎되돌리긴 글렀다……
M07714.0	이, 이봐라!⏎허둥대지 마라……!⏎허둥대지 말라고 했거늘!
M07714.1	겁, 겁먹지 마라!⏎이런 일이 현실에서⏎일어날 리가…… 없다!
M07714.2	보, 보지 마라, 보지 마라!⏎보니까 겁에 질리는 것이다⏎보면 안 된다!
M07716.0	당했네요……⏎하지만 겁먹은 건 일부예요⏎시간이 있으면 달랠 수 있어요
M07716.1	큭, 당했구나!⏎어떻게든 서둘러⏎동요를 가라앉혀야……!
M07717.1	큭, 당했구나!⏎어떻게든 서둘러⏎동요를 가라앉혀야……!
M07716.2	이놈들, 잔꾀를 부리다니!⏎……다만 동요는 아직 작아요⏎가라앉히면 되돌릴 수 있어요
M07717.0	당했나……⏎허나 겁먹은 건 일부다⏎시간이 있으면 달랠 수 있다
M07717.2	이놈들, 잔꾀를 부리다니!⏎……허나 동요는 아직 작다⏎가라앉히면 되돌릴 수 있을까
M07719.0	호호⏎이 {V:01DA}의 {V:4761}⏎뼈저리게 느껴라!
M07719.1	내 {V:4761} 앞에 적은 없어요⏎자, 가겠어요!
M12482.0	내 {V:4761} 앞에 적은 없어요⏎자, 가겠어요!
M07719.2	좋아, 지금이다!⏎내 {V:4761}의 비기를⏎보여 주마!
M07720.2	좋아, 지금이다!⏎내 {V:4761}의 비기를⏎보여 주마!
M07719.3	이 날씨는⏎{V:4761}에 안성맞춤이네요⏎자, 가겠어요!
M07720.0	흐흐흐⏎이 {V:01DA}의 {V:4761}⏎뼈저리게 느껴라!
M07720.1	내 {V:4761} 앞에 적은 없다⏎자, 간다!
M12486.0	내 {V:4761} 앞에 적은 없다⏎자, 간다!
M07720.3	이 날씨는⏎{V:4761}에 안성맞춤이다⏎자, 이거나 먹어라!
M07723.0	뭐, 뭐야, 이 안개는!?⏎이래서야 앞이 안 보여!
M07723.1	하, 하늘에서 바위가!⏎으아아!
M07723.2	가, 갑자기 돌풍이!⏎이래서야 눈을 뜰 수가 없어!
M07727.0	좋아⏎지금이야말로 익혀 둔 의술을⏎발휘할 때예요
M07727.1	어디 보자⏎부상병을 살펴봐 줄게요
M07727.2	이 약을 먹으면⏎상처가 나을 거예요⏎부상병들에게 나눠 주세요
M07727.3	다친 사람을 데려오세요⏎곧바로 치료해 줄게요
M07728.0	좋아⏎지금이야말로 익혀 둔 의술을⏎발휘할 때로군
M07728.1	어디 보자⏎부상병을 좀 살펴봐 주마
M07728.2	이 약을 먹으면⏎상처도 나을 걸세⏎부상병들에게 나눠 주게
M07728.3	다친 자를 데려오너라⏎곧바로 낫게 해 주마
M07729.0	오오, 아픔이 사라져 간다!⏎역시 {V:02DA} 님이야!!
M07729.1	어라라?⏎상처 상태가 좋아졌어!⏎{V:02DA} 님 의술은 귀신같아!
M07729.2	{V:02DA} 님,⏎감사합니다⏎상처가 말끔히 나았습니다!
M07731.0	지금부터⏎{V:3DAC} 공격에 나서겠어요!⏎전군, 나를 따르세요!
M07731.1	모두들, 기운을 내세요!⏎다음은 {V:3DAC},⏎함락시킬 차례예요!
M07731.2	다음 목표는 {V:3DAC}!⏎우리 군의 강함을⏎똑똑히 보여 주세요!
M07732.0	지금부터 우리 부대는⏎{V:3DAC} 함락에 나서요!⏎전투 준비에 들어가세요!
M07732.1	이제부터 우리 부대는⏎{V:3DAC} 공격을 개시해요!⏎전원, 긴장을 늦추지 마세요!
M07732.2	이대로 단숨에⏎{V:3DAC}까지 몰아치겠어요!⏎모두들 뒤처지지 마세요!
M07733.0	지금부터 우리 부대는⏎{V:3DAC} 쪽으로 향해요!⏎모두의 분투를 기대할게요!
M07733.1	지금 이 시각부터⏎{V:3DAC} 공격에 들어가요!⏎전군, 전투에 대비하세요!
M07733.2	모두들, 조금만 더 힘내요!⏎지금 전력이라면 {V:3DAC}도⏎함락시킬 수 있어요!
