M06530.0	{V:01DA}에게⏎{V:3DA3} 탐색을⏎명하시겠습니까?
M06854.2	아군에서는 어머님의⏎힘을 발휘하실 수 없소⏎부디 다른 곳을 알아보시오
M06855.1	안타깝지만⏎시대가 변했소⏎아버님, 돌아가 주시오
M06855.2	아군에서는 아버님의⏎힘을 발휘하실 수 없소⏎부디 다른 곳을 알아보시오
M06856.0	일족이라 해도⏎특별 대우는 할 수 없소⏎돌아가 주시오
M06856.1	천하 국가 앞에서⏎일족의 정은 상관없는 일이오⏎부디, 돌아가 주시오
M06856.2	유감이오만⏎한 사람의 군주로서는⏎거절할 수밖에 없소
M06857.0	일족이라 해도⏎특별 대우는 할 수 없네⏎물러가 주게
M06857.1	천하 국가 앞에서⏎일족의 정은 소용없네⏎돌아가 주게
M06857.2	안타깝지만⏎한 사람의 군주로서는⏎거절할 수밖에 없군
M06858.0	공교롭게도⏎인재는 충분하네⏎사관은 거절하겠네
M06858.1	귀공만 한 인재는⏎우리 세력에는 과분하네⏎다른 곳을 알아보게
M06858.2	귀공의 힘은⏎아군에게는 필요 없네⏎물러가 주게
M06859.0	{V:01DA} 님,⏎성인이 되신 {V:02DA} 님께서⏎인사를 드리러 오셨습니다
M06860.0	{V:3DA2}에 포로로 잡혀 있던⏎{V:01DA} 장군이 탈주했습니다
M06861.0	{V:1FCB} 군단의 녹봉이 밀려⏎부하 무장들의 불만이 큽니다
M06862.0	{V:01DA} 님, {V:3DAB}의 무장이 수행하면⏎{V:4736}병법「{V:4761}」 습득 가능합니다⏎다음 계절까지 수행시킬까요?
M06863.0	수행시킬 무장을 선택하십시오
M06864.0	{V:3DA2}에서의 수행을⏎중지하시겠습니까?
M06866.0	그럼 수행을 떠나겠어요⏎뒷일은 부탁해요
M06866.1	내가 돌아올 때까지⏎모두 함께 버텨야 해요
M06867.0	그럼 곧바로⏎수행하러 가도록 하죠
M06867.1	반드시 {V:4761} 병법을⏎터득해 보이겠어요
M06868.0	그럼 곧바로⏎수행하고 오겠습니다
M06868.1	반드시 {V:4761} 병법을⏎터득해 보이겠습니다
M06868.2	아군의 힘이 될 수 있도록⏎힘껏 수련하고 오겠습니다
M06869.0	그럼 수행을 떠나겠네⏎뒷일은 부탁하네
M06869.1	수행에서 돌아올 때까지⏎모두 함께 버텨야 하네
M06870.0	그럼 곧바로⏎수행하러 가세
M06870.1	반드시 {V:4761} 병법을⏎터득하고 오겠네
M06872.0	모두들,⏎내가 없는 동안 수고했습니다⏎{V:4761} 병법, 확실히 익혔습니다
M06872.1	지금 돌아왔습니다⏎기회가 되면 터득한⏎{V:4761} 병법을 선보이지요
M06872.2	수행의 성과는 아주 좋습니다⏎{V:4761} 병법에 그치지 않고⏎더 높은 경지를 목표로 합시다
M06874.1	수행의 성과는 아주 좋습니다⏎{V:4761} 병법에 그치지 않고⏎더 높은 경지를 목표로 합시다
M06873.0	지금 돌아왔어요⏎기회가 되면 터득한⏎{V:4761} 병법을 선보일게요
M06873.1	수행의 성과는 아주 좋아요⏎{V:4761} 병법에 그치지 않고⏎더 높은 경지를 목표로 해요
M06873.2	{V:4761} 병법은⏎확실히 터득했어요⏎반드시 요긴하게 쓰겠어요
M06874.0	지금 돌아왔습니다⏎기회가 되면 터득한⏎{V:4761} 병법을 보여드리지요
M06874.2	{V:4761} 병법은⏎확실히 터득했습니다⏎반드시 도움이 되겠습니다
M06875.0	모두들,⏎자리를 비운 동안 수고했네⏎{V:4761} 병법, 확실히 익혔네
M06875.1	지금 돌아왔네⏎기회가 되면 터득한⏎{V:4761} 병법을 선보이겠네
M06875.2	수행의 성과는 아주 좋네⏎{V:4761} 병법에 그치지 않고⏎더 높은 경지를 목표로 하세
M06876.0	지금 돌아왔다⏎기회가 되면 터득한⏎{V:4761} 병법을 선보이겠다
M06876.1	수행의 성과는 아주 좋다⏎{V:4761} 병법에 그치지 않고⏎더 높은 경지를 목표로 하자
M06876.2	{V:4761} 병법은⏎확실히 터득했다⏎반드시 요긴하게 써 보이겠다
M06877.0	{V:D5}년 {V:D7}월 길일⏎{V:1FC7}군과 {V:20C7}군이⏎통합했습니다
M06878.0	{V:1FC7}군에⏎속속 지원병이⏎모여들고 있는 듯합니다
M06879.0	{V:1FC7}군의 사기가⏎높아지고 있는 듯합니다
M06880.0	{V:3DA2}에서는……
M06882.0	이 난세를 살아남기 위해⏎함께 싸우지 않겠습니까?
M06882.1	난세의 승자가 되기 위해⏎우리 손을 잡지 않겠습니까?
M06883.0	이 난세를 살아남기 위해⏎함께 싸웁시다
M06884.0	이 난세를 살아남기 위해⏎함께 싸웁시다
M06886.0	이 난세를 살아남기 위해⏎함께 싸웁시다
M06883.1	난세의 승자가 되기 위해⏎우리 손을 잡읍시다
M06884.1	난세의 승자가 되기 위해⏎우리 손을 잡읍시다
M06885.0	이 난세를 살아남기 위해⏎함께 싸우지 않겠소?
M06885.1	난세의 승자가 되기 위해⏎우리 손을 잡지 않겠소?
M06886.1	난세의 승자가 되기 위해⏎우리 서로 손을 잡읍시다
M06887.0	이 난세를 살아남기 위해⏎함께 싸우세
M06887.1	난세의 승자가 되기 위해⏎우리 손을 잡세
M06889.0	실은 저도 그리 생각했습니다⏎우리 힘을 천하에 보여 줍시다
M06890.0	실은 저도 그리 생각했습니다⏎우리 힘을 천하에 보여 줍시다
M06891.0	실은 저도 그리 생각했습니다⏎우리 힘을 천하에 보여 줍시다
M06889.1	그야말로 바라던 바입니다⏎기꺼이 받아들이겠습니다
M06890.1	그야말로 바라던 바입니다⏎기꺼이 받아들이겠습니다
M06892.1	그야말로 바라던 바입니다⏎기꺼이 받아들이겠습니다
M06893.1	그야말로 바라던 바입니다⏎기꺼이 받아들이겠습니다
M06891.1	그거 좋은 생각이네요⏎꼭 그렇게 하도록 해요
M06892.0	실은 저도 그리 생각했습니다⏎우리의 힘을 천하에 떨칩시다
M06893.0	실은 저도 그리 생각했습니다⏎우리의 힘을 천하에 떨칩시다
M06894.0	실은 나도 그리 생각했네⏎우리의 힘을 천하에 떨치세
M06894.1	그거 좋은 생각일세⏎꼭 그렇게 하세
M06895.0	{V:1FCB} 군단의 병량이⏎바닥났습니다
M06897.0	{V:02DA},⏎그대의 신변을 걱정했어요⏎힘을 빌려주지 않겠어요?
M06897.1	그대를 만나게 되어⏎기쁘게 생각해요⏎자, 함께 가요
M06916.1	그대를 만나게 되어⏎기쁘게 생각해요⏎자, 함께 가요
M06897.2	그대에 대해서는⏎내가 누구보다 잘 알아요⏎힘을 빌려줄 거죠?
M06916.2	그대에 대해서는⏎내가 누구보다 잘 알아요⏎힘을 빌려줄 거죠?
M06898.0	강건하시니 다행입니다⏎저를 믿고⏎힘을 보태 주십시오
M06918.0	강건하시니 다행입니다⏎저를 믿고⏎힘을 보태 주십시오
M06898.1	저는 아직 미숙하여⏎어머님의 힘이 필요합니다⏎도와주시지 않겠습니까?
M06917.1	저는 아직 미숙하여⏎어머님의 힘이 필요합니다⏎도와주시지 않겠습니까?
M06898.2	여기까지 올 수 있었던 것도⏎어머님의 가르침 덕분입니다⏎앞으로도 이끌어 주십시오
M06917.2	여기까지 올 수 있었던 것도⏎어머님의 가르침 덕분입니다⏎앞으로도 이끌어 주십시오
M06899.0	강건하시니 다행입니다⏎저를 믿고⏎힘을 빌려주십시오
M06917.0	강건하시니 다행입니다⏎저를 믿고⏎힘을 빌려주십시오
M06899.1	저는 아직 미숙하여⏎아버님의 힘이 필요합니다⏎도와주시지 않겠습니까?
M06918.1	저는 아직 미숙하여⏎아버님의 힘이 필요합니다⏎도와주시지 않겠습니까?
M06899.2	여기까지 올 수 있었던 것도⏎아버님의 가르침 덕분입니다⏎앞으로도 이끌어 주십시오
M06918.2	여기까지 올 수 있었던 것도⏎아버님의 가르침 덕분입니다⏎앞으로도 이끌어 주십시오
M06900.0	{V:02DA} 공,⏎귀공의 신변을 걱정했습니다⏎힘을 빌려주지 않겠습니까?
M06900.1	{V:02DA} 공,⏎같은 일문으로서⏎저를 도와주시지 않겠습니까?
M06900.2	{V:02DA} 공은 우리 일문⏎함께 번영을 누리지⏎않겠습니까
M06901.0	귀공의 지모에는⏎옛 {C:25b}태공망{C:32b}도 못 미칠 것입니다⏎부디 힘을 보태 주십시오
M06901.1	귀공의 신산귀모에는⏎이 {V:01DA}, 감복했습니다⏎부디 저를 이끌어 주십시오
M06901.2	아군에는 귀공 같은⏎귀모백출의 군사가 필요합니다⏎도와주시지 않겠습니까?
M06921.2	아군에는 귀공 같은⏎귀모백출의 군사가 필요합니다⏎도와주시지 않겠습니까?
M06901.3	귀공의 신과 같은 지모는⏎아군에서야말로 빛날 것입니다⏎우리 함께 싸웁시다
M06921.3	귀공의 신과 같은 지모는⏎아군에서야말로 빛날 것입니다⏎우리 함께 싸웁시다
M06902.0	귀공의 용맹에는⏎옛 {C:25b}이광{C:32b}도 못 미칠 것입니다⏎부디 힘을 보태 주십시오
M06902.1	귀공의 신묘한 무용에는⏎이 {V:01DA}, 감복했습니다⏎힘을 보태 주시지 않겠습니까?
M06922.1	귀공의 신묘한 무용에는⏎이 {V:01DA}, 감복했습니다⏎힘을 보태 주시지 않겠습니까?
M06902.2	아군에는 귀공 같은⏎만부부당의 호걸이 필요합니다⏎도와주시지 않겠습니까?
M06922.2	아군에는 귀공 같은⏎만부부당의 호걸이 필요합니다⏎도와주시지 않겠습니까?
M06902.3	귀공의 신과 같은 무위는⏎아군에서야말로 빛날 것입니다⏎우리 함께 싸웁시다
M06922.3	귀공의 신과 같은 무위는⏎아군에서야말로 빛날 것입니다⏎우리 함께 싸웁시다
M06903.0	귀공의 통솔력에는⏎옛 {C:25b}사마양저{C:32b}도 못 미칠 겁니다⏎부디 힘을 보태 주십시오
M06903.1	귀공의 장수다운 재능에는⏎이 {V:01DA}, 감복했습니다⏎힘을 보태 주시지 않겠습니까?
M06923.1	귀공의 장수다운 재능에는⏎이 {V:01DA}, 감복했습니다⏎힘을 보태 주시지 않겠습니까?
M06903.2	아군에는 귀공 같은⏎백전연마의 장수가 필요합니다⏎도와주시지 않겠습니까?
M06923.2	아군에는 귀공 같은⏎백전연마의 장수가 필요합니다⏎도와주시지 않겠습니까?
M06903.3	귀공의 손오를 능가할 용병은⏎아군에서야말로 빛날 것입니다⏎우리 함께 싸웁시다
M06923.3	귀공의 손오를 능가할 용병은⏎아군에서야말로 빛날 것입니다⏎우리 함께 싸웁시다
M06904.0	{V:02DA} 공과 담소하다 보면⏎시간 가는 줄도 모르겠습니다⏎우리 함께 싸웁시다
M06924.0	{V:02DA} 공과 담소하다 보면⏎시간 가는 줄도 모르겠습니다⏎우리 함께 싸웁시다
M06904.1	귀공과 함께 태평한 세상을⏎이룰 수 있다면 더없는 기쁨⏎협력해 주지 않겠습니까?
M06904.2	아군에는 반드시⏎귀공의 도움이 필요합니다⏎저를 믿어 주지 않겠습니까?
M06924.2	아군에는 반드시⏎귀공의 도움이 필요합니다⏎저를 믿어 주지 않겠습니까?
M06904.3	귀공의 재략을⏎저는 높이 평가하고 있습니다⏎함께 나아갑시다
