M06497.0	명령서가 없습니다
M09659.0	내정선택을 중지합니다
M09660.0	등용합니다
M09661.0	등용하지 않고 귀환합니다
M09662.0	시나리오의 클리어 조건을 확인합니다
M09663.0	ＢＧＭ을 스테레오／모노 중에서 선택합니다
M09664.0	효과음을 켜거나 끕니다
M09665.0	진동 기능을 켜거나 끕니다
M09666.0	레이더 맵을 켜거나 끕니다
M09667.0	화면 표시 위치를 조정합니다
M09668.0	만든 신세력을 바꿉니다
M09670.0	바꿀 신세력을 선택하십시오
M09671.0	군주를 바꿉니다
M09672.0	본거를 바꿉니다
M09673.0	설정이 바뀌지 않았습니다
M09674.0	변경을 마칩니다
M09675.0	생년이 크게 차이 나는 무장이 있습니다
M09676.0	더 이상의 값은 설정할 수 없습니다
M09677.0	능력치를 정하십시오
M09678.0	각 능력의 상승치를 결정합니다
M09679.0	능력치 결정을 중지합니다
M09681.0	이름을 입력하십시오(성・명・읽기 필수)
M09682.0	입력을 마칩니다
M09683.0	입력을 중지합니다
M09684.0	부모 설정을 해제합니다
M09685.0	부모가 설정되어 있지 않습니다
M09686.0	상성 설정을 해제합니다
M09687.0	상성이 설정되어 있지 않습니다
M09688.0	시나리오의 클리어 조건을 표시하고 있습니다
M09689.0	배치를 정하십시오
M09699.0	전체 지도와 진행보고를 확인합니다
M09700.0	챌린지 시나리오에서는 선택할 수 없습니다
M09701.0	챌린지 시나리오에서는 설정을 바꿀 수 없습니다
M09702.0	이 무장은 설정을 바꿀 수 없습니다
M09703.0	바꿀 수 있는 등록무장이 없습니다
M09704.0	바꿀 수 있는 등록무장・본거지가 없습니다
M09705.0	바꿀 수 있는 다른 등록무장이 없습니다
M09706.0	바꿀 수 있는 다른 도시가 없습니다
M09707.0	부모를 설정합니다
M09708.0	게임을 종료하고 타이틀 화면으로 돌아갑니다
M09709.0	{V:01DA}의 이후 행보를 지켜봅니다
M09710.0	모든 세력의 이후 행보를 지켜봅니다
M09711.0	게임쇼 버전에서는 선택할 수 없습니다
M09713.0	전체 지도와 진행보고를 표시하고 있습니다
M09720.0	답변을 정하십시오
M09726.0	승낙 조건으로 포로 반환을 요구합니다
M09727.0	승낙 조건으로 금을 요구합니다
M09728.0	승낙 조건으로 아이템을 요구합니다
M09729.0	무조건 승낙합니다
M09730.0	커서 이동 속도를 느리게 합니다
M09731.0	커서 이동 속도를 표준으로 합니다
M09732.0	커서 이동 속도를 빠르게 합니다
M09733.0	표적시설을 선택합니다
M09734.0	시설정보를 표시하고 있습니다
M09735.0	게임 데이터가 손상되었습니다
M09736.0	편집을 중지합니다
M09737.0	무장 데이터를 편집하십시오
M09738.0	이름은 편집할 수 없습니다
M09739.0	능력 관련 데이터를 편집합니다
M09740.0	통솔 값을 바꿉니다
M09741.0	무력 값을 바꿉니다
M09742.0	지력 값을 바꿉니다
M09743.0	정치 값을 바꿉니다
M09744.0	개인 관련 데이터를 편집합니다
M09745.0	의리 값을 바꿉니다
M09746.0	야망 값을 바꿉니다
M09747.0	상성을 바꿉니다
M09748.0	수명을 바꿉니다
M09749.0	충성을 바꿉니다
M09750.0	성격을 바꿉니다
M09751.0	병법 관련 데이터를 편집합니다
M09752.0	보병계 병법의 숙련치를 바꿉니다
M09753.0	기병계 병법의 숙련치를 바꿉니다
M09754.0	궁기계 병법의 숙련치를 바꿉니다
M09755.0	노병계 병법의 숙련치를 바꿉니다
M09756.0	수군계 병법의 숙련치를 바꿉니다
M09757.0	공성계 병법의 숙련치를 바꿉니다
M09758.0	지식계 병법의 숙련치를 바꿉니다
M09759.0	모략계 병법의 숙련치를 바꿉니다
M09760.0	책략계 병법의 숙련치를 바꿉니다
M09761.0	보병계 병법을 특기 병법으로 설정합니다
M09762.0	기병계 병법을 특기 병법으로 설정합니다
M09763.0	궁기계 병법을 특기 병법으로 설정합니다
M09764.0	노병계 병법을 특기 병법으로 설정합니다
M09765.0	수군계 병법을 특기 병법으로 설정합니다
M09766.0	공성계 병법을 특기 병법으로 설정합니다
M09767.0	지식계 병법을 특기 병법으로 설정합니다
M09768.0	모략계 병법을 특기 병법으로 설정합니다
M09769.0	책략계 병법을 특기 병법으로 설정합니다
M09770.0	편집 전의 무장 데이터로 되돌립니다
M09771.0	무장 데이터가 바뀌지 않았습니다
M09772.0	보병계 병법을 특기 병법으로 하거나 숙련치를 바꿉니다
M09773.0	기병계 병법을 특기 병법으로 하거나 숙련치를 바꿉니다
M09774.0	궁기계 병법을 특기 병법으로 하거나 숙련치를 바꿉니다
M09775.0	노병계 병법을 특기 병법으로 하거나 숙련치를 바꿉니다
M09776.0	수군계 병법을 특기 병법으로 하거나 숙련치를 바꿉니다
M09777.0	공성계 병법을 특기 병법으로 하거나 숙련치를 바꿉니다
M09778.0	지식계 병법을 특기 병법으로 하거나 숙련치를 바꿉니다
M09779.0	모략계 병법을 특기 병법으로 하거나 숙련치를 바꿉니다
M09780.0	책략계 병법을 특기 병법으로 하거나 숙련치를 바꿉니다
M09785.0	도시 데이터를 편집하십시오
M09786.0	일반인구를 바꿉니다
M09787.0	병역인구를 바꿉니다
M09788.0	병사 수를 바꿉니다
M09789.0	민심 값을 바꿉니다
M09790.0	수익 값을 바꿉니다
M09791.0	수확 값을 바꿉니다
M09792.0	내구 값을 바꿉니다
M09794.0	사기 값을 바꿉니다
M09795.0	수익의 최댓값을 바꿉니다
M09796.0	수확의 최댓값을 바꿉니다
M09797.0	내구의 최댓값을 바꿉니다
M09798.0	도시의 병법을 바꿉니다
M09799.0	도시의 특성을 바꿉니다
M09800.0	도시의 병법을 없음으로 설정합니다
M09801.0	도시의 특성을 없음으로 설정합니다
