M12533.0	왔구나, {V:02DA}대⏎자, 각오해라
M12690.2	{C:25b}방원{C:32b}진을 친 우리 부대를⏎혼란시키려다니 무모한 짓을
M12688.1	이 진형을 친 이상⏎{C:25b}혼란{C:32b} 따위 안 통한다!
M12689.1	{C:25b}방원{C:32b}진을 혼란시키려 하다니⏎얼빠진 책사로군
M12690.0	{C:25b}방원{C:32b}진을 치고 있으니⏎첩자의 움직임은 훤히 보인다
M12690.1	{C:25b}방원{C:32b}진을 혼란시키려 하다니⏎헛된 짓을 하는구나
M12692.0	왜 그리 풀이 죽었어!⏎기합을 넣어라!
M12692.1	지면 목숨이 없어요!⏎죽을 각오로 싸우세요!
M12692.2	북을 계속 울려라!⏎기세를 올려요!
M12693.0	함성을 지르세요!⏎이제부터 공세로 나가요!
M12693.1	용기를 북돋워라!⏎지금부터가 고비예요!
M12693.2	좋아, 직접 진두에 나서서⏎병사들을 북돋워 볼까!
M12694.0	병사들에게 술을 내리세요⏎사기를 높이는 거예요
M12694.1	현악대에게 연주를 시키세요⏎병사들의 의욕을 북돋우세요
M12694.2	제가 직접 병사들을 위로해⏎사기를 끌어올립시다
M12695.0	{V:4761} 병법을 쓰려면⏎지금이 좋겠지요……
M12695.1	이쯤에서 사기를⏎높여 둘까요……
M12695.2	슬슬 {V:4761} 병법으로⏎사기를 높입시다……
M12696.0	왜 그리 풀이 죽었느냐!⏎기합을 넣지 못하겠느냐!
M12696.1	지면 목숨은 없다!⏎죽을 각오로 싸워라!
M12696.2	북을 계속 울려라!⏎기세를 올려라!
M12697.0	함성을 질러라!⏎이제부터 공세로 나간다!
M12697.1	용기를 북돋워라!⏎지금부터가 고비다!
M12697.2	좋아, 직접 진두에 나서서⏎병사들을 북돋워 주마!
M12698.0	병사들에게 술을 내려라⏎사기를 높여 주는 거다
M12698.1	현악대에게 연주를 시키자⏎병사들의 의욕을 북돋워라
M12698.2	내가 직접 병사들을 위로해⏎사기를 끌어올려 둘까
M12699.0	{V:4761} 병법을 쓰려면⏎지금이 좋겠지……
M12699.1	이쯤에서 사기를⏎높여 두도록 할까……
M12699.2	슬슬 {V:4761} 병법으로⏎사기를 높이자……
M12700.0	좋았어!⏎한 번 더 힘내 볼까!
M12700.1	여기까지 왔으면⏎끝까지 해 보자~!
M12700.2	왠지 의욕이⏎솟아나는데~!
M12702.0	에잇!⏎이게 무슨 일이야!!
M12702.1	이렇게 된 이상⏎어쩔 도리가 없어요!
M12702.2	이 얼마나 한심한가!!
M12706.2	이 얼마나 한심한가!!
M12703.0	방심했어요!
M12703.1	명색이 {V:01DA}인 내가⏎이 무슨 꼴인가!
M12707.1	명색이 {V:01DA}인 내가⏎이 무슨 꼴인가!
M12703.2	이 무슨 추태인가!
M12707.2	이 무슨 추태인가!
M12704.0	빨리 어떻게든 해야겠어요
M12704.1	이건 큰 오산이에요
M12704.2	이 {V:01DA}답지 않게⏎이런 실수를 하다니……
M12708.2	이 {V:01DA}답지 않게⏎이런 실수를 하다니……
M12705.0	이, 이게 무슨 일이죠……
M12705.1	이, 이대로는……
M12709.1	이, 이대로는……
M12705.2	어째서 이런 일이……
M12709.2	어째서 이런 일이……
M12706.0	에잇!⏎이게 무슨 일이냐!!
M12706.1	이렇게 된 이상⏎어쩔 도리가 없다!
M12707.0	방심했다!
M12708.0	빨리 어떻게든 해야겠다
M12708.1	이건 큰 오산이다
M12709.0	이, 이게 무슨 일이냐……
M12711.0	무너뜨려라!⏎산산조각 내 버려라!
M12711.1	찔러라, 찔러라, 마구 찔러라!
M12714.1	찔러라, 찔러라, 마구 찔러라!
M12711.2	공세를 늦추지 마라!⏎계속하라!
M12712.0	단숨에 뚫어 버려라!
M12715.0	단숨에 뚫어 버려라!
M12712.1	적도 제법이네요
M12778.1	적도 제법이네요
M12712.2	바로 그거예요⏎계속 밀어붙이세요!
M12733.2	바로 그거예요⏎계속 밀어붙이세요!
M12713.0	방비가 허술한 곳을⏎무너뜨리세요
M12734.0	방비가 허술한 곳을⏎무너뜨리세요
M12713.1	적의 약점을 찌르세요⏎싸움의 기본이에요
M12713.2	완벽한 방비란 없어요⏎적의 사각을 찌르세요
M12714.0	무너뜨려라!⏎산산조각 내라!
M12714.2	공세를 늦추지 마라!⏎계속해라!
M12715.1	적도 제법이군
M12782.1	적도 제법이군
M12715.2	바로 그거다⏎계속 밀어붙여라!
M12716.0	방비가 허술한 곳을⏎무너뜨려라
M12737.0	방비가 허술한 곳을⏎무너뜨려라
M12716.1	적의 약점을 찔러라⏎싸움의 기본이다
M12716.2	완벽한 방비란 없다⏎적의 사각을 찔러라
M12718.0	쏴라, 쏴라아!
M12721.0	쏴라, 쏴라아!
M12804.2	쏴라, 쏴라아!
M12807.2	쏴라, 쏴라아!
M12718.1	사격을 늦추지 마라!
M12721.1	사격을 늦추지 마라!
M12718.2	쉬지 말고 계속 쏴라!
M12719.0	신호가 있을 때까지⏎사격을 늦추지 마라!
M12722.0	신호가 있을 때까지⏎사격을 늦추지 마라!
M12719.1	제법 끈질기네요
M12719.2	바로 그거예요⏎쉬지 말고 쏘세요!
M12720.0	반격할 틈을 주지 말고⏎계속 쏘세요
M12806.0	반격할 틈을 주지 말고⏎계속 쏘세요
M12720.1	화살을 아낄 필요는 없어요⏎아껴야 할 것은 시간이에요
M12720.2	비 오듯 화살을 쏘아⏎적병의 기를 꺾으세요
M12721.2	쉬지 말고 계속 쏴라!
M12722.1	제법 끈질기군
M12722.2	바로 그거다⏎쉬지 말고 쏴라!
M12723.0	이대로 계속 쏘아라⏎반격할 틈을 주지 마라
M12809.0	이대로 계속 쏘아라⏎반격할 틈을 주지 마라
M12723.1	화살을 아끼지 마라⏎아낄 것은 시간이다
M12723.2	비 오듯 화살을 쏘아⏎적병의 기를 꺾어라
M12725.0	던져라, 던져!⏎마구 퍼부어요!
M12725.1	날려라, 날려라!⏎더 날려라!
M12728.1	날려라, 날려라!⏎더 날려라!
M12725.2	사양할 필요 없어요!⏎이대로 계속하라!
M12726.0	지금쯤 안에선⏎난리가 났겠지요
M12726.1	적도 꽤 버티네요
M12726.2	좋아, 명중했어요⏎바로 그거예요!
M12727.0	과녁은 커요⏎침착하게 노리세요
M12727.1	정면 오른쪽 방비가 허술해요⏎저기를 노리세요
M12727.2	중앙의 방비가 무너졌어요⏎집중적으로 노리세요
M12728.0	던져라, 던져!⏎마구 퍼부어라!
M12728.2	사양하지 마라!⏎이대로 계속해라!
M12729.0	지금쯤 안에선⏎난리가 났겠지
M12729.1	적도 꽤 버티는군
M12729.2	좋아, 명중했다⏎바로 그거다!
M12730.0	과녁은 크다⏎침착하게 노려라
M12730.1	정면 오른쪽 방비가 허술하다⏎저기를 노려라
M12730.2	중앙의 방비가 무너졌다⏎집중적으로 노려라
M12732.0	이대로 돌진하라!⏎적을 박살 내요!
M12732.1	밀어라, 밀어!⏎이대로 무너뜨려라!
M12735.1	밀어라, 밀어!⏎이대로 무너뜨려라!
M12732.2	오호호호호!⏎코끼리 괴력에 말문이 막혔나!
M12733.0	이대로 짓밟아 버려요⏎본때를 보여 줘라!
M12733.1	슬슬 결판을⏎내고 싶네요
M12734.1	공격의 고삐를⏎늦춰선 안 돼요
M12734.2	코끼리의 거대한 몸집 앞에선⏎적도 간담이 서늘하겠지요
M12735.0	이대로 돌진하라!⏎적을 박살 내라!
M12735.2	하하하!⏎코끼리 힘에 말문이 막혔겠지!
M12736.0	이대로 짓밟아 버린다⏎본때를 보여 줘라!
M12736.1	슬슬 결판을⏎내고 싶군
M12736.2	바로 그거다⏎계속 밀어붙이게 하라!
M12737.1	공격의 고삐를 늦추지 마라
M12737.2	코끼리의 거대한 몸집 앞에서⏎적도 간담이 서늘하겠지
M12739.0	쏴라, 쏴라아!⏎고슴도치로 만들어 버려라!
M12742.0	쏴라, 쏴라아!⏎고슴도치로 만들어 버려라!
M12739.1	쏘고, 또 쏘고,⏎마구 쏴 대라!
M12742.1	쏘고, 또 쏘고,⏎마구 쏴 대라!
M12739.2	있는 대로 화살을⏎퍼부어라!
M12742.2	있는 대로 화살을⏎퍼부어라!
M12804.1	있는 대로 화살을⏎퍼부어라!
M12740.0	좋아, 이대로⏎계속 쏘는 거예요!
M12740.1	바로 그거예요!⏎계속 쏘세요
M12740.2	더 많이⏎화살을 퍼부어요!
M12741.0	화살이 떨어질 때까지⏎계속 쏘세요
M12741.1	비 오듯⏎화살을 퍼부으세요
M12741.2	이대로 계속 쏘세요⏎화살로 하늘을 뒤덮어라
M12743.0	좋아, 이대로⏎계속 쏘는 거다!
M12743.1	바로 그거다!⏎계속 쏴라
M12743.2	더 많이⏎화살을 퍼부어라!
M12744.0	화살이 떨어질 때까지⏎계속 쏘아라
M12744.1	비 오듯 화살을 퍼부어라
M12744.2	이대로 계속 쏘아라⏎화살로 하늘을 뒤덮어라
M12746.0	좋아, 지금이에요!⏎나를 따르라!
M12746.1	자!⏎단숨에 무너뜨려라!
M12746.2	꾸물대지 마라!⏎적에게 접근하라!
M12747.0	겁먹지 마라!⏎더 파고들어라!
M12750.0	겁먹지 마라!⏎더 파고들어라!
M12747.1	준비됐지요?⏎일제히 쳐들어가요!
M12747.2	적의 전열을 무너뜨려라!
M12750.2	적의 전열을 무너뜨려라!
M12748.0	적의 측면에 배를 대세요
M12748.1	배를 붙이세요⏎물살을 읽는 거예요
M12748.2	배의 대열을 가다듬으세요⏎지시대로 움직이는 거예요
M12749.0	모두들, 뒤처지지 마라!
M12749.1	좋아, 쳐라!⏎단숨에 무너뜨려라!
M12749.2	꾸물대지 마라!⏎적에게 접근해라!
M12750.1	준비됐겠지?⏎일제히 쳐들어간다!
M12751.0	적의 측면에 배를 대라
M12751.1	배를 붙여라⏎물살을 읽는 거다
M12751.2	대열을 흐트러뜨리지 마라⏎지시대로 움직여라
M12753.0	적이 달라붙게 두지 마라!
M12757.0	적이 달라붙게 두지 마라!
M12753.1	겁먹지 마라!⏎응전하라!
M12757.1	겁먹지 마라!⏎응전하라!
M12753.2	당하고만⏎있을 수는 없어요!
M12754.0	응전하세요!⏎조금만 더 버텨요
M12754.1	겁먹지 마라!⏎적도 지쳐 있어요
M12754.2	적도 꽤 버티네요⏎질 수는 없지요
M12755.0	허둥댈 필요 없어요⏎대비는 되어 있어요
M12755.1	움직이지 않기는 산처럼⏎침착하게 대처하세요
M12755.2	함부로 응전하지 말고⏎신호에 따르세요
