M07054.0	{V:3DAC} 공략에⏎힘을 빌려주셨으면 합니다
M07157.0	부하의 안전에 돈을 아낄 만큼⏎타락하지는 않으셨겠지요?⏎대가는 금 {V:65}입니다
M07157.1	{V:03DA}쯤 되는 인물입니다⏎금 {V:65}도 없이는⏎이야기가 안 되지요
M07158.0	부하의 안전에 돈을 아낄 만큼⏎타락하진 않았겠지요?⏎금 {V:65}쯤은 받겠어요!
M07158.1	{V:03DA}쯤 되는 인물이에요⏎금 {V:65}도 없이는⏎이야기가 안 되죠!
M07158.2	지금까지의 일을 생각하면⏎금 {V:65} 정도는⏎싼 편이잖아요?
M07159.0	금 {V:65}만 주신다면⏎넘겨 드리지요
M07165.0	금 {V:65}만 주신다면⏎넘겨 드리지요
M07159.1	조건은 금 {V:65}입니다⏎받아들여 주신다면⏎석방하겠습니다
M07165.1	조건은 금 {V:65}입니다⏎받아들여 주신다면⏎석방하겠습니다
M07159.2	{V:03DA}의 안위를 위해서라면⏎금 {V:65}쯤⏎아깝지 않으시겠지요?
M07160.2	{V:03DA}의 안위를 위해서라면⏎금 {V:65}쯤⏎아깝지 않으시겠지요?
M07160.0	금 {V:65}만 내시면⏎넘겨 드리지요
M07160.1	금 {V:65}, 그게 조건이에요⏎받아들여 준다면⏎석방하지요
M07161.0	친한 사이에도 예의는 있는 법⏎적어도 금 {V:65}쯤은⏎지불해 주시지 않겠습니까?
M07161.1	{V:03DA}쯤 되는 인물입니다⏎금 {V:65} 정도는⏎지불해 주시지 않겠습니까?
M07161.2	죄송합니다만⏎금 {V:65} 정도의 대가는⏎받고자 합니다
M07162.0	친한 사이에도 예의는 있는 법⏎적어도 금 {V:65}쯤은⏎지불해 주지 않겠나?
M07162.1	{V:03DA}쯤 되는 인물일세⏎금 {V:65} 정도는⏎내주어야겠네
M07162.2	미안하네만⏎금 {V:65} 정도는⏎받고 싶군
M07163.0	부하의 안전에 돈을 아낄 만큼⏎타락하시지는 않았겠지요?⏎금 {V:65}쯤은 받아야겠군요
M07163.1	{V:03DA}쯤 되는 인물입니다⏎금 {V:65}도 없이는⏎이야기가 안 되겠군요
M07163.2	지금까지의 일을 생각하면⏎금 {V:65} 정도는⏎싸다고 생각지 않습니까?
M07164.0	부하의 안전에 돈을 아낄 만큼⏎타락하진 않았겠지?⏎금 {V:65}쯤은 내놓게!
M07164.1	{V:03DA}쯤 되는 인물일세⏎금 {V:65}도 없이는⏎이야기가 안 되지!
M07165.2	{V:03DA}의 안위를 위해서라면⏎금 {V:65}쯤⏎아깝지는 않으시겠지요?
M07166.0	금 {V:65}만 낸다면⏎넘겨주지
M07166.1	조건은 금 {V:65}일세⏎받아들여 준다면⏎석방하지
M07166.2	{V:03DA}의 안위를 위해서라면⏎금 {V:65}쯤⏎아깝지 않겠지?
M07168.1	양측과 {V:03DA} 본인을 위해⏎{V:1543}의 양도를⏎부탁드릴 수 없겠습니까?
M07169.0	이쪽도 무리를 하는 거예요⏎적어도 {V:1543}만큼은⏎넘겨주면 좋겠어요
M07169.1	양측과 {V:03DA} 본인을 위해⏎{V:1543}의 양도를⏎부탁하고 싶네요
M07169.2	미안하지만⏎{V:1543}쯤은⏎넘겨줄 수 없을까요?
M07170.0	꽤나 염치없는 이야기로군요⏎{V:1543}쯤⏎준비하실 수 없습니까?
M07176.0	꽤나 염치없는 이야기로군요⏎{V:1543}쯤⏎준비하실 수 없습니까?
M07170.2	{V:1543}만 주신다면⏎그런대로 성의는⏎인정하겠습니다
M07176.2	{V:1543}만 주신다면⏎그런대로 성의는⏎인정하겠습니다
M07171.0	꽤나 염치없는 이야기네요!⏎{V:1543}쯤은⏎준비할 수 없나요?
M07171.1	{V:1543}도 없이는⏎이야기가 안 돼요!⏎싫으면 돌아가도 좋아요
M07171.2	{V:1543}만 내놓는다면⏎그런대로 성의는⏎인정해 드리지요
M07172.0	{V:03DA}쯤 되는 인물입니다⏎{V:1543}만 주신다면⏎넘겨 드리지요
M07178.0	{V:03DA}쯤 되는 인물입니다⏎{V:1543}만 주신다면⏎넘겨 드리지요
M07172.1	조건은 {V:1543}입니다⏎넘겨주신다면⏎기꺼이 석방하겠습니다
M07178.1	조건은 {V:1543}입니다⏎넘겨주신다면⏎기꺼이 석방하겠습니다
M07172.2	{V:03DA}의 안위를 위해서라면⏎{V:1543}쯤⏎아깝지 않으시겠지요?
M07173.2	{V:03DA}의 안위를 위해서라면⏎{V:1543}쯤⏎아깝지 않으시겠지요?
M07173.0	{V:03DA}쯤 되는 인물이에요⏎{V:1543}만 준다면⏎넘겨 드리지요
M07173.1	{V:1543}, 그게 조건이에요⏎넘겨준다면⏎기꺼이 석방하지요
M07174.1	양측과 {V:03DA} 본인을 위해⏎{V:1543}의 양도를⏎부탁드려도 되겠습니까?
M07175.0	이쪽도 무리를 하는 것이니⏎적어도 {V:1543}만큼은⏎넘겨주었으면 하는데……
M07175.1	양측과 {V:03DA} 본인을 위해⏎{V:1543}의 양도를⏎부탁할 수 없겠나?
M07175.2	미안하네만⏎{V:1543}쯤은⏎넘겨줄 수 없겠나?
M07177.1	{V:1543}도 없이는⏎이야기가 안 되겠군⏎싫다면 돌아가 주게
M07177.2	{V:1543}만 내놓는다면⏎그런대로 성의는⏎인정해 주지
M07178.2	{V:03DA}의 안위를 위해서라면⏎{V:1543}쯤⏎아깝지는 않으시겠지요?
M07179.0	{V:03DA}쯤 되는 인물일세⏎{V:1543}만 준다면⏎넘겨주지
M07179.1	조건은 {V:1543}일세⏎넘겨준다면⏎기꺼이 석방하지
M07179.2	{V:03DA}의 안위를 위해서라면⏎{V:1543}쯤⏎아깝지 않겠지?
M07181.0	죄송합니다만 지금은⏎{V:03DA}의 석방이 어렵습니다⏎다음 기회로 미뤄 주십시오
M07187.0	죄송합니다만 지금은⏎{V:03DA}의 석방이 어렵습니다⏎다음 기회로 미뤄 주십시오
M07182.0	미안하지만 지금은⏎{V:03DA}의 석방이 어려워요⏎다음 기회로 미뤄 주세요
M07182.1	들어주려고 했지만⏎부하들이 말렸어요⏎……미안해요
M07182.2	다름 아닌 귀하의 부탁인 줄은⏎알고 있지만⏎이번에는 단념해 주세요
M07183.0	원한을 품은 {V:03DA},⏎어찌 풀어 줄 수 있겠습니까!⏎돌아가 주십시오
M07183.1	후안무치도⏎적당히 하십시오⏎어서 돌아가시지요!
M07183.2	그런 요구를⏎들어줄 수 있을 리 없습니다⏎처지를 분별하십시오!
M07189.2	그런 요구를⏎들어줄 수 있을 리 없습니다⏎처지를 분별하십시오!
M07184.0	어리석은 소리도 작작 하세요!⏎원한을 품은 {V:03DA},⏎풀어 줄 수 있다고 생각해요!?
M07184.1	후안무치도⏎적당히 좀 하시지요⏎어서 사라지세요!
M07184.2	그런 요구를⏎들어줄 리가 없잖아요⏎처지를 분별하세요!
M07185.0	그건 들어줄 수 없는 일입니다⏎이 이야기는 없었던 걸로⏎해 주셔야겠습니다
M07191.0	그건 들어줄 수 없는 일입니다⏎이 이야기는 없었던 걸로⏎해 주셔야겠습니다
M07185.1	{V:03DA}의 석방은⏎호랑이 우리를 여는 격……⏎단념해 주셔야겠습니다
M07191.1	{V:03DA}의 석방은⏎호랑이 우리를 여는 격……⏎단념해 주셔야겠습니다
M07185.2	거절하겠습니다⏎뻔히 알면서 적을 늘릴 수는⏎없으니까요
M07186.0	그건 들어줄 수 없는 일이에요⏎이 이야기는 없었던 걸로⏎해 주셔야겠어요
M07186.1	{V:03DA}의 석방은⏎호랑이 우리를 여는 격……⏎단념하세요
M07186.2	거절하겠어요⏎뻔히 알면서 적을 늘릴 수는⏎없잖아요?
M07188.0	미안하네만 지금은⏎{V:03DA}의 석방이 어렵네⏎다음 기회로 미뤄 주게
M07188.2	다름 아닌 그쪽 부탁인 줄은⏎알고 있네만⏎이번엔 단념해 주었으면 하네
M07189.0	원한을 품은 {V:03DA},⏎풀어 줄 수 있다고 보십니까!?⏎돌아가 주십시오
M07189.1	후안무치도⏎적당히 하십시오!⏎어서 돌아가 주셔야겠습니다!
M07190.0	어리석은 소리도 작작 해라!⏎원한을 품은 {V:03DA},⏎풀어 줄 수 있을 것 같으냐!?
M07190.1	후안무치도⏎적당히 하거라!⏎당장 꺼져라!
M07190.2	그런 요구를⏎들어줄 리가 있겠느냐⏎분수를 알아야지!
M07191.2	거절하겠습니다⏎뻔히 알면서 적을 늘릴 수는⏎없는 노릇이니까요
M07192.0	그건 들어줄 수 없는 일이군⏎이 이야기는 없었던 걸로⏎해 주게
M07192.1	{V:03DA}의 석방은⏎호랑이 우리를 여는 격……⏎이번에는 단념해 주게
M07192.2	거절하겠네⏎뻔히 알면서 적을 늘릴 수는⏎없으니 말일세
M07193.0	{V:01DA} 측은 {V:02DA}의⏎송환을 거절했습니다
M07195.0	인사 대신 선물을⏎가져왔어요⏎거두어 주세요
M07195.1	직접⏎선물을 가져왔어요⏎받아 주실 거죠?
M07195.2	약소한 것이지만⏎받아 주세요
M07196.0	인사를 대신할 선물을⏎가져왔습니다⏎부디 거두어 주십시오
M07196.1	직접⏎선물을 가져왔습니다⏎부디 거두어 주십시오
M07196.2	약소한 물건입니다만⏎부디 받아 주십시오
M07197.0	이것들은⏎저희 주군의 성의예요⏎부디 받아 주세요
M07197.1	주군 {V:03DA}께서 보내신⏎선물을 가져왔어요⏎부디 거두어 주세요
M07197.2	인사 대신 선물을⏎가져왔어요⏎받아 주실 거죠?
M07198.0	인사를 대신할 선물을⏎가져왔네⏎거두어 주게
M07198.1	직접⏎선물을 가져왔네⏎받아 주겠나?
M07198.2	약소한 것이네만⏎받아 주었으면 하네
M07199.0	인사를 대신할 선물을⏎가져왔네⏎받아 주었으면 하네
M07199.1	직접⏎선물을 가져왔네⏎부디 거두어 주게
M07199.2	약소한 물건이네만⏎부디 받아 주게
M07200.0	이것들은⏎우리 주군의 성의일세⏎부디 받아 주게
M07200.1	주군 {V:03DA}께서 보내신⏎선물을 가져왔네⏎부디 거두어 주게
M07200.2	인사를 대신할 선물을⏎가져왔네⏎받아 주겠나?
M07201.0	이것들은⏎저희 주군의 성의입니다⏎부디 받아 주십시오
M07201.1	주군 {V:03DA}께서 보내신⏎선물을 가져왔습니다⏎부디 거두어 주십시오
M07201.2	인사를 대신할 선물을⏎가져왔습니다⏎기꺼이 거두어 주십시오
M07202.2	인사를 대신할 선물을⏎가져왔습니다⏎기꺼이 거두어 주십시오
M07202.0	이것은⏎작은 성의입니다⏎부디 받아 주십시오
M07202.1	직접⏎선물을 가져왔습니다⏎부디 거두어 주십시오
M07204.0	그렇게 마음 쓰지 않으셔도⏎우리 군의 생각은⏎달라지지 않습니다
M07204.1	늘 이렇게⏎마음을 쓰게 해서⏎죄송합니다
M07204.2	마음 써 주셔서 감사합니다⏎이 물건들은⏎유용하게 쓰도록 하겠습니다
M07205.0	그렇게 마음 쓰지 않아도⏎우리 군의 생각은⏎달라지지 않아요
M07205.1	늘 마음을 쓰게 해서⏎미안하네요
M07205.2	마음 써 주셔서 감사해요⏎이 물건들은⏎유용하게 쓸게요
M07206.0	이 정도 선물은 당연합니다⏎앞으로도 그런 배려를⏎잊지 마시길
M07212.0	이 정도 선물은 당연합니다⏎앞으로도 그런 배려를⏎잊지 마시길
M07206.1	은혜로 여길 생각은⏎없습니다만⏎일단 받아 두지요
M07212.1	은혜로 여길 생각은⏎없습니다만⏎일단 받아 두지요
M07206.2	조금은 세상 이치를⏎깨달으신⏎모양이군요
M07212.2	조금은 세상 이치를⏎깨달으신⏎모양이군요
M07207.0	이 정도 선물은 당연해요⏎앞으로도, 그런 배려를⏎잊지 않았으면 좋겠네요
M07207.1	은혜로 여길 생각은⏎없지만, 일단⏎받아는 드리지요
M07207.2	흠……⏎조금은 세상 이치를⏎깨달은 모양이네요
M07208.0	이거 참 고맙습니다⏎요긴하게 쓰도록⏎하겠습니다
M07208.1	성의는 잘 알겠습니다⏎그 마음은⏎충분히 고려하겠습니다
M07214.1	성의는 잘 알겠습니다⏎그 마음은⏎충분히 고려하겠습니다
M07208.2	이거 참 고맙군요⏎감사합니다
M07209.0	이거 참 고맙군요⏎요긴하게 쓰도록 하지요
M07209.1	성의는 잘 알겠습니다⏎그 마음은⏎충분히 고려하지요
M07209.2	고맙게 받겠습니다⏎감사합니다
M07210.0	그렇게 마음 쓰지 않으셔도⏎우리 군의 생각은⏎변함이 없습니다
M07210.1	늘 마음을 쓰게 해서⏎죄송합니다
M07210.2	마음 써 주셔서 감사드립니다⏎이 물건들은⏎유용하게 쓰도록 하겠습니다
