M08914.0	{V:01DA} 장군은⏎도적떼에게 도리어 당했습니다
M09040.0	금을 {V:65} 들여 {V:79}의 비문을⏎세워 제사를 지내시겠습니까?⏎　실행무장: {V:01DA}⏎　군단금: {V:66}
M09041.0	{V:01DA} 장군은 목욕재계하고⏎{V:79}의 비문 앞에서⏎하늘에 선현을 제사 지냈다
M09042.0	{V:01DA} 장군은 {V:79}의⏎비문 건립을 단념했습니다
M09043.0	{V:3DA2} 일대는⏎{V:79}의 연고지로⏎알려져 있었다
M09043.1	{V:3DA2}에 이르자 {V:01DA}의⏎{V:1543}에서 찬란한 빛이 났다
M09044.0	금을 {V:65} 들여⏎{V:79} 제사를 지내시겠습니까?⏎　실행무장: {V:01DA}⏎　군단금: {V:66}
M09045.0	{V:1543} 아이템을 손에 든⏎{V:01DA} 장군은 {V:79}께⏎기도를 올리며 제사를 지냈다
M09045.1	{V:01DA} 장군은 {V:79}께⏎{V:1543} 아이템을 바쳤다
M09046.0	{V:01DA} 장군은⏎{V:79} 제사를 단념했습니다
M09047.0	{V:3DA2}의 지형은⏎{V:79} 조련에 안성맞춤이었다
M09047.1	{V:3DA2} 일대는⏎{V:79} 조련에 최적의 장소였다
M09047.2	{V:3DA2}에서는⏎{V:79} 조련이 빈번히 이루어졌다
M09048.0	금을 {V:65} 들여⏎{V:79} 조련하시겠습니까?⏎　실행무장: {V:01DA}⏎　군단금: {V:66}
M09049.0	{V:01DA} 장군은 {V:3DA2}에서⏎부하와 {V:79} 조련에 힘썼다
M09049.1	{V:01DA} 장군은⏎{V:79} 조련을 되풀이했다
M09049.2	{V:01DA} 장군은 {V:3DA2}에서⏎{V:79} 조련을 쌓았다
M09050.0	{V:01DA} 장군은⏎{V:79} 감이 예리해졌습니다
M09050.1	{V:01DA} 장군은⏎{V:79}의 향상을 절감했습니다
M09050.2	{V:01DA} 장군은⏎{V:79} 솜씨가 크게 늘었습니다
M09051.0	{V:01DA} 장군은⏎{V:79} 감을 잡았습니다
M09051.1	{V:01DA} 장군은⏎{V:79} 향상을 실감했습니다
M09051.2	{V:01DA} 장군은⏎{V:79} 솜씨가 늘었습니다
M09052.0	{V:01DA} 장군은⏎{V:79} 감을 조금 잡았습니다
M09052.1	{V:01DA} 장군은⏎{V:79} 향상을 그다지⏎실감하지 못했습니다
M09052.2	{V:01DA} 장군은⏎{V:79} 솜씨가 좀 늘었습니다
M09053.0	{V:01DA} 장군은⏎{V:79} 조련을 중지했습니다
M09053.1	{V:01DA} 장군은⏎그대로 {V:3DA2}에서 떠났습니다
M09053.2	{V:01DA} 장군은⏎{V:3DA2} 조련을 단념했습니다
M09054.0	{V:3DA2} 일대는⏎{V:79} 상인의 거점으로⏎알려져 있었다
M09054.1	{V:3DA2}에서는⏎{V:79} 상인들의 거래가⏎활발히 이루어지고 있었다
M09054.2	{V:01DA} 장군이 찾아갔을 때⏎{V:3DA2}에선 {V:79} 상인의⏎거래가 한창이었다
M09055.0	어떻습니까?⏎{V:02DA} 님도 {V:79}에⏎투자해 주시지 않겠습니까?
M09055.1	{V:02DA} 님,⏎{V:79}에⏎투자해 보시지 않겠습니까?
M09055.2	{V:02DA} 님,⏎얼마간 투자해 보시겠습니까?⏎거래로 두 배로 불려 드리지요
M09056.0	투자 금액을 설정하십시오
M09057.0	맡겨 주십시오⏎반드시 성공해⏎보여 드리겠습니다
M09057.1	{V:02DA} 님의 기대를⏎저버리지 않을 테니⏎부디 안심하십시오
M09057.2	금 {V:65} 말씀이군요⏎확실히 맡았습니다⏎좋은 소식을 기다려 주십시오
M09058.0	{V:79} 상인이 돌아왔습니다
M09059.0	기뻐하십시오!⏎이번 거래는⏎보기 좋게 성공했습니다
M09059.1	이번 거래는⏎성공이었습니다⏎자, 받으십시오
M09059.2	{V:02DA} 님,⏎이번 거래는⏎성공이었습니다
M09060.0	죄송합니다⏎이번에는 실패했습니다⏎부디 다음을 기대해 주십시오
M09060.1	{V:02DA} 님,⏎유감스럽게도⏎이번에는 실패였습니다
M09060.2	죄송합니다⏎이번 교역은⏎실패였습니다
M09061.0	{V:01DA} 장군은⏎투자금을 {V:65} 잃었습니다
M09062.0	그럼⏎또 기회가 있으면⏎불러 주십시오
M09062.1	{V:02DA} 님,⏎다음에는 일확천금을⏎노려 봅시다!
M09062.2	그거 아쉽군요!⏎그럼 다음 기회에는⏎잘 부탁드립니다
M09063.0	{V:79} 상인이⏎떠나갔습니다
M09064.0	어째서 이런 일을……⏎……윽……
M09064.1	이, 이것이 {V:1FC7}군의⏎백성을 대하는 방식입니까……
M09064.2	이, 이런 일이 용납될 거라고⏎생각하십니까……
M09065.0	{V:1FC7}군은⏎앞으로 {V:79} 상인과는⏎교역할 수 없게 되었습니다
M09066.0	금을 {V:65} 지불하고⏎{C:25b}좌자{C:32b}에게 배우시겠습니까?⏎　실행무장: {V:01DA}⏎　군단금: {V:66}
M09067.0	{C:25b}좌자{C:32b}에게 {C:25b}둔갑천서{C:32b}를 줍니까?⏎　실행무장: {V:01DA}
M09068.0	무례막심한 {C:25b}예형{C:32b}, 어찌할까요?⏎　실행무장: {V:01DA}
M09069.0	{V:01DA} 대신 금을 {V:65} 내시겠습니까?⏎　실행무장: {V:02DA}⏎　군단금: {V:66}
M09070.0	백성의 탄원을 들어줍니까?⏎　실행무장: {V:01DA}⏎　군단금: {V:65}　군단병량: {V:66}
M09071.0	의용병 {V:65}명을 받아들입니까?⏎　실행무장: {V:01DA}
M09072.0	고발된 악인을 어떻게 처분합니까?⏎　실행무장: {V:01DA}⏎　무력: {V:65}　정치: {V:66}
M09073.0	뇌물을 {V:65} 받으시겠습니까?⏎　실행무장: {V:01DA}⏎　군단금: {V:66}
M09074.0	나그네의 요청을 들어줍니까?⏎　실행무장: {V:01DA}⏎　군단금: {V:65}
M09075.0	백성들과 축제에 참여합니까?⏎　실행무장: {V:01DA}
M09076.0	백성을 위해 괴물을 없앱니까?⏎　실행무장: {V:01DA}⏎　무력: {V:65}　정치: {V:66}
M09077.0	백성을 위해 도적을 없앱니까?⏎　실행무장: {V:01DA}⏎　통솔: {V:65}　군단금: {V:66}
M09078.0	도적을 쫓고 나그네를 구합니까?⏎　실행무장: {V:01DA}⏎　통솔: {V:65}
M09079.0	도적들의 다툼을 중재합니까?⏎　실행무장: {V:01DA}⏎　무력: {V:65}　정치: {V:66}
M09080.0	백성을 위해 범을 퇴치합니까?⏎　실행무장: {V:01DA}⏎　무력: {V:65}
M09081.0	상인에게 금을 투자합니까?⏎　실행무장: {V:01DA}⏎　군단금: {V:65}
M09082.0	어느 날 {V:01DA} 장군은⏎{V:02DA}에게 초대를 받았다
M09088.0	어느 날 {V:01DA} 장군은⏎{V:02DA}에게 초대를 받았다
M09083.0	{V:02DA},⏎학문에 힘쓰고 있는가?
M09084.0	송구하오나⏎무인인 소장에게⏎학문은 필요치 않습니다
M09085.0	그대가 장수로서 성장하는 데⏎학문은 반드시 도움이 되네⏎속는 셈 치고 힘써 보게
M09086.0	{V:01DA} 장군은 그날부터⏎학문에 힘쓰게 되었다
M09087.0	{V:01DA}, 학문에 힘써 지력 상승⏎현재 지력: {V:65}(+{V:66})
M09099.0	{V:01DA}, 학문에 힘써 지력 상승⏎현재 지력: {V:65}(+{V:66})
M09089.0	{V:02DA},⏎학문은 잘 되어 가는가?
M09090.0	틈틈이 책을 읽고⏎있습니다만, 바빠서⏎생각만큼 진척이 없습니다
M09091.0	나도 정무 틈틈이 배우고 있네⏎그대는 이해력이 있으니⏎더 시간을 내어 배워 보게
M09092.0	{V:01DA} 장군은 심기일전하여⏎그날부터 더욱 학문에 힘썼다
M09093.0	{V:01DA}, 학문을 더해 지력 상승⏎현재 지력: {V:65}(+{V:66})
M09094.0	어느 날 {V:01DA} 장군은⏎{V:02DA}에게 초대를 받았다⏎⏎두 사람은 전술에 대해 논했다
M09095.0	음, 훌륭하네!⏎언젠가는 {V:02DD}마저도⏎능가할지 모르겠군
M09096.0	소장은 재주가 없어⏎{V:02DA} 님께는 못 미칩니다⏎더욱 정진해야겠습니다……
M09097.0	이토록 경험을 쌓고서도⏎여전히 향상을 꾀하는가⏎참으로 훌륭한 마음가짐일세⏎앞으로도⏎우리 군을 위해 힘써 주게나
M09098.0	{V:01DA} 장군은 그 후에도⏎학문에 힘써 군략 논의에⏎없어서는 안 될 존재가 되었다
M09100.0	어느 날 {V:01DA} 장군이⏎{V:02DA}의 저택을 방문했다
M09101.0	나는 젊었을 때⏎옛 경전을 읽고⏎큰 도움을 얻었소⏎{V:02DA} 공도 읽어 보시는 게⏎어떻겠소?
M09102.0	지금을 살려면 지금의 지식만⏎있으면 된다고 생각합니다만
M09103.0	옛사람이 남긴 기록을⏎어찌 살릴지는 본인 나름이오⏎⏎귀공은 재치가 있으니⏎두루 응용할 수 있을 것이오⏎한번 해 보시오
M09104.0	{V:01DA} 장군은 심기일전하여⏎그날부터 옛 경전을 공부했다
M09105.0	{V:01DA}, 견문을 넓혀 정치 상승⏎현재 정치: {V:65}(+{V:66})
M09106.0	어느 날 {V:01DA} 장군은⏎{V:02DA}의 저택을 찾아⏎전략을 논했다⏎일찍이 무용 일변도였던⏎{V:02DA} 장군이 이제는⏎훌륭한 논리를 펼치게 되었다
M09107.0	꽤나 정진하셨나 보군⏎이게 정말 오나라에 있던⏎그 아몽인가?
M09108.0	무릇 선비란⏎사흘만 떨어져 있어도⏎괄목상대해야 하는 법입니다
M09109.0	과연⏎멍하니 있다가는⏎나도 추월당하고 말겠군
M09110.0	{V:01DA}의 독서는 계속되었고⏎그 양은 유학자 뺨칠 정도였다
M09111.0	{V:01DA}, 식견을 쌓아 정치 상승⏎현재 정치: {V:65}(+{V:66})
M09112.0	어느 날 {V:01DA} 장군에게⏎{V:02DA}의 방문이 있었다⏎두 사람은 전술에 대해 논했다
M09113.0	지금의 귀공이라면⏎모략을 쓴 전법도 가능하겠소⏎배워 보는 게 어떻겠소?
M09114.0	……그렇군요⏎그럼 당장⏎배워 보기로 하지요
M09115.0	{V:01DA} 장군은 독학으로⏎{V:4761}에 {V:4861}도 익혔습니다
M09115.1	{V:01DA} 장군은 독학으로⏎{V:4761} 병법을 익혔습니다
M09116.0	⏎　연환계・전편⏎
M09117.0	⏎　연환계・후편⏎
M09118.0	⏎　삼고초려・전편⏎
M09119.0	⏎　삼고초려・후편⏎
M09120.0	⏎　관도대전⏎
M09121.0	⏎　적벽대전⏎
M09122.0	⏎　망봉래⏎
M09123.0	⏎　봉선⏎
M09124.0	⏎　한중왕⏎
M09125.0	⏎　산양공⏎
M09126.0	⏎　출사표⏎
M09127.0	⏎　오호장군⏎
M09128.0	⏎　이교⏎
M09129.0	⏎　손상향⏎
M09130.0	{V:01DA} 님, {V:02DA} 장군이⏎알현을 청하고 있습니다
M09131.0	저는 늘 제 부족함을⏎통감하며, 더욱 정진하고⏎싶다고 생각합니다
M09131.1	저는 늘 재주 없음을 한탄하며⏎더욱 정진할 필요를⏎통감하고 있습니다
M09131.3	저는 늘 재주 없음을 한탄하며⏎더욱 정진할 필요를⏎통감하고 있습니다
M09131.2	나는 늘 내 부족함을⏎통감하며, 더욱 정진해야⏎한다고 생각하고 있네
M09132.0	그래서 부탁드리고 싶은데⏎{V:1543}, 이 {V:01DA}에게⏎넘겨주지 않겠습니까?
M09132.1	그래서 청이 있사온데⏎{V:1543}, 이 {V:01DA}에게⏎넘겨주실 수 없겠습니까?
M09132.3	그래서 청이 있사온데⏎{V:1543}, 이 {V:01DA}에게⏎넘겨주실 수 없겠습니까?
M09132.2	그래서 부탁하고 싶은데⏎{V:1543}, 이 {V:01DA}에게⏎넘겨주지 않겠나?
M09133.0	{V:1543},⏎{V:01DA}에게 주시겠습니까?
M09134.0	고맙습니다⏎앞으로 더 큰 활약을⏎약속드리지요
M09134.1	감사합니다⏎앞으로의 제 활약상을⏎지켜봐 주십시오
M09134.2	고맙네⏎앞으로의 내 활약상을⏎잘 지켜보게나
M09134.3	감사합니다⏎앞으로 저의 활약상을⏎지켜보시옵소서
