M00000.0	황건적의 난과 도원결의
M06689.3	무장에게는 녹봉으로 금을,⏎병사에게는 병량을 주어야⏎합니다⏎금은 계절마다,⏎병량은 가을에 들어옵니다⏎모자라지 않게 유의하시지요
M06689.4	무장에게는 녹봉으로 금을,⏎병사에게는 병량을⏎주어야 하네⏎금은 계절마다,⏎병량은 가을에 들어오네⏎모자라지 않게 유의하게
M06689.5	무장에게는 녹봉으로 금을,⏎병사에게는 병량을 주어야⏎합니다⏎금은 계절마다,⏎병량은 가을에 들어옵니다⏎모자라지 않게 유의하시지요
M06690.0	지금 아군의 국력으로는⏎현 병력도 감당하지 못합니다⏎빨리 도시를 확보해야 합니다
M06690.1	지금 아군의 국력으로는⏎현 병력도 감당 못 하네⏎빨리 도시를 확보해야겠군
M06690.2	지금 아군의 국력으로는⏎현 병력도 감당하지 못해요⏎빨리 도시를 확보해야 해요
M06690.3	지금 아군의 국력으로는⏎현 병력도 감당하지 못합니다⏎빨리 도시를 확보해야 합니다
M06690.4	지금 아군의 국력으로는⏎현 병력도 감당 못 하네⏎빨리 도시를 확보해야겠군
M06690.5	지금 아군의 국력으로는⏎현 병력도 감당하지 못합니다⏎빨리 도시를 확보해야 합니다
M06692.0	이미 아군은⏎{V:1FC7}의 국호를 받들어⏎일국을 이루었습니다⏎{C:25b}황제{C:32b}의 이름에 걸맞은⏎싸움을 해야 할 것입니다
M06692.1	이미 아군은⏎{V:1FC7}의 국호를 받들어⏎일국을 이루었네⏎{C:25b}황제{C:32b}의 이름에 걸맞은⏎싸움을 해야 할 것이네
M06692.10	이미 아군은⏎{V:1FC7}의 국호를 받들어⏎일국을 이루었습니다⏎가신 일동,⏎폐하의 이름에 누가 되지 않게⏎분골쇄신하겠습니다
M06692.11	이미 아군은⏎{V:1FC7}의 국호를 받들어⏎일국을 이루었습니다⏎가신 일동,⏎폐하의 이름에 누가 되지 않게⏎분골쇄신하겠습니다
M06692.12	이미 아군은⏎{V:1FC7}의 국호를 받들어⏎일국을 이루고 있네⏎가신 일동,⏎폐하의 이름에 누가 되지 않게⏎분골쇄신하세
M06692.13	이미 아군은⏎{V:1FC7}의 국호를 받들어⏎일국을 이루었습니다⏎가신 일동,⏎폐하의 이름에 누가 되지 않게⏎분골쇄신하겠습니다
M06692.14	천하의 반은 우리 것입니다⏎통일을 향해⏎끝까지 싸웁시다
M06692.15	천하의 반은 우리 것입니다⏎통일을 향해⏎끝까지 싸웁시다
M06692.16	천하의 반은 우리 것일세⏎통일을 향해⏎끝까지 싸우세
M06692.17	천하의 반은 우리 것입니다⏎통일을 향해⏎끝까지 싸웁시다
M06692.18	싸움은 이제부터입니다⏎전선에 늘 주의를 기울이며⏎인근 지방으로 진출합시다
M06692.19	싸움은 이제부터입니다⏎전선에 늘 주의를 기울이며⏎인근 지방으로 진출합시다
M06692.2	천하의 반은 우리 것입니다⏎통일을 향해 끝까지 싸웁시다
M06692.20	싸움은 이제부터일세⏎전선에 늘 주의를 기울이며⏎인근 지방 진출을 노리세
M06692.21	싸움은 이제부터입니다⏎전선에 늘 주의를 기울이며⏎인근 지방으로 진출합시다
M06692.22	싸움은 막 시작되었습니다⏎새로이 다른 주를 제패하여⏎기반 확대를 노립시다
M06692.23	싸움은 막 시작되었습니다⏎새로이 다른 주를 제패하여⏎기반 확대를 노립시다
M06692.24	싸움은 막 시작되었네⏎새로이 다른 주를 제패하여⏎기반 확대를 노리세
M06692.25	싸움은 막 시작되었습니다⏎새로이 다른 주를 제패하여⏎기반 확대를 노립시다
M06692.26	싸움은 막 시작되었습니다⏎우선 주를 제패하여⏎기반을 다지도록 합시다
M06692.27	싸움은 막 시작되었습니다⏎우선 주를 제패하여⏎기반을 다지도록 합시다
M06692.28	싸움은 막 시작되었네⏎우선 주를 제패하여⏎기반을 다지도록 하세
M06692.29	싸움은 막 시작되었습니다⏎우선 주를 제패하여⏎기반을 다지도록 합시다
M06692.3	천하의 반은 우리 것일세⏎통일을 향해 끝까지 싸우세
M06692.4	싸움은 이제부터입니다⏎전선에 늘 주의를 기울이며⏎인근 지방으로 진출합시다
M06692.5	싸움은 이제부터일세⏎전선에 늘 주의를 기울이며⏎인근 지방 진출을 노리세
M06692.6	싸움은 막 시작되었습니다⏎새로이 다른 주를 제패하여⏎기반 확대를 노립시다
M06692.7	싸움은 막 시작되었네⏎새로이 다른 주를 제패하여⏎기반 확대를 노리세
M06692.8	싸움은 막 시작되었습니다⏎우선 주를 제패하여⏎기반을 다지도록 합시다
M06692.9	싸움은 막 시작되었네⏎우선 주를 제패하여⏎기반을 다지도록 하세
M06757.0	군사가 있으면⏎여러 가지 조언을⏎해 줄 때가 있습니다⏎조언은 진행 보고처럼⏎중지도에 표시되니⏎필요하면 확인하시지요
M06757.1	군사가 있으면⏎여러 가지 조언을⏎해 줄 때가 있네⏎조언은 진행 보고처럼⏎중지도에 표시되니⏎필요하면 확인해 보게
M06757.2	군사가 있으면⏎여러 가지 조언을⏎해 줄 때가 있어요⏎조언은 진행 보고처럼⏎중지도에 표시되니⏎필요하면 확인하세요
M06757.3	군사가 있으면⏎여러 가지 조언을⏎해 줄 때가 있습니다⏎조언은 진행 보고처럼⏎중지도에 표시되니⏎필요하면 확인해 주십시오
M06757.4	군사가 있으면⏎여러 가지 조언을⏎해 줄 때가 있네⏎조언은 진행 보고처럼⏎중지도에 표시되니⏎필요하면 확인해 주게
M06757.5	군사가 있으면⏎여러 가지 조언을⏎해 줄 때가 있습니다⏎조언은 진행 보고처럼⏎중지도에 표시되니⏎필요하면 확인해 주시오
M08385.0	{U:F0BC}버튼을 누르면 게임을 시작합니다
M08422.0	내정
M08438.0	MEMORY CARD 삽입구 1의⏎"PlayStation 2" 전용 메모리 카드(8MB)를⏎확인하고 있습니다⏎"PlayStation 2" 전용 메모리 카드(8MB)를 빼거나⏎전원을 끄거나 리셋하지 마십시오
M08440.0	MEMORY CARD 삽입구 1의⏎"PlayStation 2" 전용 메모리 카드(8MB)를⏎로드하고 있습니다⏎"PlayStation 2" 전용 메모리 카드(8MB)를 빼거나⏎전원을 끄거나 리셋하지 마십시오
M08484.0	MEMORY CARD 삽입구 1의⏎"PlayStation 2" 전용 메모리 카드(8MB)에는⏎데이터가 없습니다
M08488.0	%s를 계속하시겠습니까?
M09172.0	메뉴를 선택하십시오
M09173.0	새 게임을 시작합니다
M09174.0	세이브 데이터가 없습니다
M09175.0	세이브한 곳부터 게임을 이어서 합니다
M09176.0	게임 진행 방법을 설명합니다
M09177.0	나만의 오리지널 무장을 만듭니다
M09178.0	감상할 수 있는 동영상이 없습니다
M09179.0	게임 중에 본 동영상을 감상할 수 있습니다
M09180.0	게임 중에 흐르는 ＢＧＭ을 감상할 수 있습니다
M09181.0	게임을 종료합니다
M09182.0	시나리오를 선택하십시오
M09183.0	역사에 따른 시나리오입니다
M09184.0	역사에 없는 가상 시나리오입니다
M09185.0	다음으로 넘어갑니다
M09186.0	초기 메뉴로 돌아갑니다
M09187.0	세력을 선택하십시오
M09188.0	{U:F0BC}버튼으로 세력 선택 후 결정을 누르십시오(복수 가능)
M09189.0	담당할 세력을 선택합니다
M09190.0	신세력을 배치할 수 있는 도시가 없습니다
M09191.0	선택할 수 있는 등록무장이 없습니다
M09192.0	오리지널 세력을 만듭니다
M09193.0	배치할 수 있는 등록무장이 없습니다
M09194.0	등록무장을 도시에 배치합니다
M09195.0	배치된 무장이 없습니다
M09196.0	배치한 내용을 취소합니다
M09197.0	선택할 수 있는 등록무장이 없습니다
M09198.0	등장시킬 등록무장을 선택합니다
M09199.0	담당할 세력을 선택하십시오
M09200.0	다음으로 넘어갑니다
M09201.0	변경 내용을 취소하고 이전으로 돌아갑니다
M09202.0	신세력을 만드십시오
M09203.0	신세력의 군주가 될 무장을 선택합니다
M09204.0	신세력이 자리 잡을 도시를 선택합니다
M09205.0	군주와 소재지를 지웁니다
M09206.0	군주와 소재지를 선택하십시오
M09207.0	작성을 마칩니다
M09208.0	변경 내용을 취소하고 마칩니다
M09209.0	소재지를 설정할 무장을 선택하십시오
M09210.0	{U:F0BC}버튼으로 무장 선택 후 결정을 누르십시오(복수 가능)
M09211.0	소재지를 취소할 무장을 선택하십시오
M09212.0	{U:F0BC}버튼으로 무장 선택 후 결정을 누르십시오(복수 가능)
M09213.0	등장시키지 않을 무장은 선택을 해제하십시오
M09214.0	등장하지 않을 무장을 {U:F0BC}버튼으로 빼십시오(복수 가능)
M09215.0	게임 환경을 설정합니다
M09216.0	일반 설정입니다
M09217.0	상급자용 설정입니다
M09218.0	무장의 상성과 수명이 역사대로 정해집니다
M09219.0	무장의 상성과 수명이 무작위로 바뀝니다
M09220.0	{U:F0BC}버튼을 누르면 다음으로 넘어갑니다
M09221.0	자동으로 다음으로 넘어갑니다
M09222.0	짧게 표시한 뒤 다음으로 넘어갑니다
M09223.0	ＢＧＭ을 스테레오로 재생합니다
M09224.0	ＢＧＭ을 모노로 재생합니다
M09225.0	효과음을 켭니다
M09226.0	효과음을 끕니다
M09227.0	이 설정으로 게임을 시작합니다
M09228.0	이전으로 돌아갑니다
M09229.0	불러올 데이터를 선택하십시오
M09230.0	초기 메뉴로 돌아갑니다
M09367.0	닫기
M09380.0	선택을 결정합니다
M09381.0	아직 아무것도 선택하지 않았습니다
M09382.0	선택을 그만두고 원래 화면으로 돌아갑니다
M09420.0	15세~90세의 등록무장이 없습니다
M09502.0	대상을 선택하십시오
M09503.0	선택되지 않았습니다
M09504.0	목록을 닫습니다
M09576.0	기한 안에 목적 달성을 노리는 시나리오입니다
M09577.0	ＢＧＭ・동영상・아이템을 감상합니다
M09578.0	괜찮으시면 {U:F0BC}버튼을 누르십시오
M09579.0	신세력을 만듭니다
M09580.0	신세력을 삭제합니다
M09581.0	군주로 삼을 무장을 선택하십시오
M09582.0	본거지로 삼을 도시를 선택하십시오
M09583.0	삭제할 세력을 선택하십시오
M09584.0	{U:F0BC}버튼으로 세력 선택 후 결정을 누르십시오(복수 가능)
M09585.0	진동 기능을 켭니다
M09586.0	진동 기능을 끕니다
M09587.0	맵에 지역 경계선을 표시합니다
M09588.0	맵에 지역 경계선을 표시하지 않습니다
M09589.0	레이더 맵을 표시합니다
M09590.0	레이더 맵을 표시하지 않습니다
M09591.0	화면 표시 위치를 조정합니다
M09592.0	괜찮으시면 {U:F0BC}버튼을 누르십시오
M09593.0	등록된 무장이 없습니다
M09594.0	여러 등록무장의 생년을 한꺼번에 바꿉니다
M09595.0	등록무장 데이터를 저장합니다
M09596.0	성명과 자(별명)를 입력합니다
M09597.0	성별을 바꿉니다
M09598.0	얼굴을 선택합니다
M09599.0	신념과 성격을 설정합니다
M09600.0	능력을 설정합니다
M09610.0	특수 한자를 입력합니다
M09611.0	작성을 중지합니다
M09612.0	이 설정으로 결정합니다
M09613.0	설정 변경을 취소합니다
M09614.0	생년을 바꿀 무장을 선택하십시오
M09615.0	획득한 아이템이 없습니다
M09616.0	획득한 아이템을 감상합니다
M09631.0	설치 또는 제거를 합니다
M09632.0	"PlayStation BB Unit"이 연결되어 있지 않습니다
M09633.0	게임 데이터를 설치합니다
M09634.0	이미 설치되어 있습니다
M09635.0	게임 데이터를 제거합니다
M09636.0	게임 데이터가 설치되어 있지 않습니다
M09690.0	등록된 무장이 없습니다
M09691.0	더 이상 신세력을 만들 수 없습니다
M09692.0	배치할 수 있는 등록무장이 없습니다
M09693.0	무장의 신념을 설정합니다
M09694.0	무장의 성격을 설정합니다
M09695.0	세이브 데이터가 없습니다
M09696.0	당사 제품을 소개합니다
M09714.0	병법과 일기토의 연출을 표시합니다
M09715.0	병법과 일기토의 연출을 표시하지 않습니다
M09716.0	ＢＧＭ 음량을 설정합니다
M09717.0	효과음 음량을 설정합니다
M09718.0	설정을 마칩니다
M09719.0	사운드 관련 설정을 합니다
M09721.0	목록 위에서부터 고를 수 있는 만큼 선택합니다
M09722.0	선택한 내용을 모두 취소합니다
M09723.0	이 내용으로 결정합니다
M09724.0	아직 아무것도 선택하지 않았습니다
M09725.0	최대 수만큼 선택했습니다
M09781.0	편집할 무장을 선택하십시오
M09782.0	모든 무장 데이터를 처음 상태로 되돌립니다
M09783.0	무장 데이터가 바뀌지 않았습니다
M09784.0	무장 데이터를 갱신합니다
M09824.0	고급 규칙을 설정합니다
M09825.0	다른 세력 부대의 병법을 표시합니다
M09826.0	다른 세력 부대의 병법을 표시하지 않습니다
M09827.0	다른 세력 부대의 명령을 표시합니다
M09828.0	다른 세력 부대의 명령을 표시하지 않습니다
M09829.0	전투에서 패한 무장이 죽을 수 있습니다
M09830.0	전투에서 무장이 죽지 않게 합니다
M09831.0	병사 발탁 이벤트가 일어날 수 있습니다
M09832.0	병사 발탁 이벤트가 일어나지 않습니다
M09833.0	세력 통합 이벤트가 일어날 수 있습니다
M09834.0	세력 통합 이벤트가 일어나지 않습니다
M09835.0	게임 중에 편집 기능을 쓸 수 있습니다
M09836.0	게임 중에 편집 기능을 쓸 수 없게 합니다
M09837.0	내정치와 공격력 등 컴퓨터의 전력을 설정합니다
M09838.0	컴퓨터 세력의 금 초기값을 늘립니다
M09839.0	컴퓨터 세력의 병량 초기값을 늘립니다
M09840.0	컴퓨터 세력의 내정치 초기값을 늘립니다
M09841.0	컴퓨터 세력 도시의 병사 수를 늘립니다
M09842.0	컴퓨터 세력의 공격력을 올립니다
M09843.0	컴퓨터 세력 시설의 사기를 올립니다
M09844.0	진행 보고를 「상세」로 바꿉니다
M09845.0	진행 보고를 「간략」으로 바꿉니다
M09846.0	스테이지 선택으로 돌아갑니다
M09847.0	편집한 무장 데이터를 반영합니다
M09848.0	편집한 무장 데이터를 반영하지 않습니다
M09859.0	스테이지 클리어형 오리지널 스토리입니다
M09860.0	무장 데이터의 내용을 바꿉니다
M09861.0	챌린지 시나리오・트라이얼 스토리를 시작합니다
M09862.0	오리지널 무장・아이템을 만듭니다
M09863.0	나만의 오리지널 아이템을 만듭니다
M09864.0	세력에 소속되어 있지 않습니다
M09865.0	더 이상 아이템을 만들 수 없습니다
M09866.0	새 아이템을 만듭니다
M09867.0	등록된 아이템이 없습니다
M09868.0	등록 아이템의 내용을 바꿉니다
M09869.0	등록된 아이템이 없습니다
M09870.0	등록 아이템을 삭제합니다
M09871.0	등록 아이템 데이터를 저장합니다
M09893.0	{U:F0BC}버튼으로 아이템 선택 후 결정하십시오(복수 가능)
M09894.0	게임 중에 등록 아이템이 등장합니다
M09895.0	게임 중에 등록 아이템이 등장하지 않습니다
M09909.0	군사
M09950.0	시나리오선택
M09951.0	플레이할 {C:16b}시나리오{C:32b}를 선택합니다.⏎일반 시나리오 10개와 IF 시나리오⏎5개가 준비되어 있습니다.⏎시나리오를 선택하면 다음⏎화면에서 그 시나리오의 개요가⏎표시됩니다.⏎⏎{C:9b}＜일반 시나리오＞{C:32b}⏎　역사에 기초한 시나리오입니다.⏎{C:9b}＜IF 시나리오＞{C:32b}⏎　『삼국지Ⅸ』만의 오리지널⏎　시나리오입니다.
M09952.0	세력선택
M09954.0	신세력작성
M09956.0	환경설정
M09959.0	로드
M09961.0	신무장등록
M10000.0	관작
M10006.0	기병
M10022.0	군사
M10046.0	대담
M10057.0	최대내구
M10064.0	사기
M10070.0	시설
M10074.0	시나리오
M10075.0	게임의 시대 설정입니다.⏎{C:10b}일반{C:32b} 시나리오 10개와⏎{C:10b}IF{C:32b} 시나리오 5개가⏎준비되어 있으며, 원하는⏎시나리오를 골라 플레이할 수⏎있습니다.
M10084.0	수익
M10086.0	수확
M10108.0	인구
M10112.0	신중
M10114.0	신망
M10120.0	성격
M10122.0	정치
M10128.0	성별
M10134.0	세력
M10153.0	내구
M10157.0	대장
M10165.0	저돌
M10169.0	지력
M10185.0	등장
M10189.0	통솔
M10193.0	등록무장
M10194.0	이름, 능력, 병법 등을 자유롭게⏎설정할 수 있는 가상의 무장입니다.⏎{C:10b}100명{C:32b}까지 등록할 수 있습니다.
M10195.0	도시
M10199.0	돌격
M10201.0	돌진
M10214.0	난이도
M10228.0	게임 중에 흐르는 음악입니다.⏎환경설정에서 {C:10b}스테레오／모노{C:32b}⏎설정과 음량 조절이 가능합니다.⏎초기 메뉴의 「{C:10b}ＢＧＭ 감상{C:32b}」에서⏎감상할 수 있습니다.
M10229.0	병량
M10241.0	무력
M10245.0	분전
M10247.0	분투
M10251.0	병사
M10257.0	보병
M10294.0	냉정
M10367.0	초기 메뉴
M10371.0	최종 확인
M10413.0	민심
M10449.0	목록
M10451.0	튜토리얼
M10485.0	분신
M10487.0	돌파
M10499.0	현역
M10519.0	세이브
M10648.0	사운드 설정
M10663.0	고급 설정
M10667.0	적 전력 설정
M10706.0	초기 메뉴
M10707.0	『삼국지Ⅸ with 파워업키트』의⏎첫 화면입니다.⏎원하는 메뉴를 선택하십시오.⏎⏎{C:9b}＜새 게임 시작＞{C:32b}⏎　새로 게임을 시작할 때⏎　누르십시오. {C:16b}시나리오{C:32b} 선택⏎　화면으로 넘어갑니다.⏎{C:9b}＜데이터 로드＞{C:32b}⏎　게임을 이어서 플레이합니다.⏎　{C:10b}세이브 데이터{C:32b}가 있을 때만⏎　선택할 수 있습니다.
M10708.0	{C:9b}＜튜토리얼 시작＞{C:32b}⏎　실제로 플레이하면서 게임의⏎　내용을 익힐 수 있습니다.⏎　『삼국지Ⅸ with 파워업키트』를⏎　처음 하는 분께 추천합니다.⏎{C:9b}＜챌린지 모드 시작＞{C:32b}⏎　{C:10b}챌린지 시나리오{C:32b}와 {C:10b}트라이얼⏎　스토리{C:32b}를 즐길 수 있습니다.⏎　가볍게 즐기고 싶은 분께⏎　추천합니다.⏎{C:9b}＜신무장・신아이템 등록＞{C:32b}⏎　나만의 {C:16b}오리지널 무장{C:32b}・{C:16b}아이템{C:32b}을⏎　만들 수 있습니다.
M10709.0	{C:9b}＜무장 편집＞{C:32b}⏎　등장하는 모든 무장의 데이터를⏎　편집할 수 있습니다. 새 게임을⏎　시작할 때 {C:10b}언제든지 편집한⏎　내용으로 플레이할 수 있습니다{C:32b}.⏎{C:9b}＜갤러리 감상＞{C:32b}⏎　게임의 동영상과 {C:16b}ＢＧＭ{C:32b}을⏎　감상할 수 있습니다. 또한⏎　획득한 아이템도 볼 수 있습니다.⏎{C:9b}＜"PlayStation BB Unit"＞{C:32b}⏎　"PlayStation BB Unit"이 있으면⏎　설치 또는 제거를 할 수⏎　있습니다.
M10768.0	등록 아이템
M10769.0	이름, 종류, 소재 등을 자유롭게⏎설정할 수 있는 가상 아이템입니다.⏎{C:10b}50개{C:32b}까지 등록할 수 있습니다.
M11188.0	신망
M14549.0	왕
